,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2012,,,,,
June 2012,,,,,
September 2012,,,,,
December 2012,,,,,
March 2013,476200000.0,126950000.0,352125000.0,,
June 2013,476200000.0,126950000.0,352125000.0,,
September 2013,476200000.0,126950000.0,352125000.0,,
December 2013,476200000.0,126950000.0,352125000.0,,
March 2014,498800000.0,118000000.0,377700000.0,,
June 2014,582700000.0,155400000.0,404100000.0,,
September 2014,517400000.0,158200000.0,418300000.0,,
December 2014,576500000.0,150200000.0,425600000.0,15820500000.0,6441200000.0
March 2015,670800000.0,169900000.0,483200000.0,22123800000.0,7426400000.0
June 2015,731500000.0,168200000.0,564200000.0,22794600000.0,7891400000.0
September 2015,714200000.0,174800000.0,537100000.0,21316500000.0,6485900000.0
December 2015,638700000.0,159000000.0,596200000.0,22267700000.0,6472700000.0
March 2016,801400000.0,253600000.0,549300000.0,22644100000.0,6627600000.0
June 2016,760800000.0,179500000.0,581400000.0,28836300000.0,12186700000.0
September 2016,1414000000.0,199100000.0,656900000.0,36538500000.0,7965100000.0
December 2016,1019200000.0,194600000.0,708500000.0,34726200000.0,7522500000.0
March 2017,857800000.0,217500000.0,631300000.0,34272600000.0,7065500000.0
June 2017,751600000.0,181100000.0,620500000.0,35506200000.0,6965900000.0
September 2017,861600000.0,182300000.0,664100000.0,35818900000.0,7266600000.0
December 2017,875000000.0,202400000.0,659900000.0,35806300000.0,7213300000.0
March 2018,828600000.0,204900000.0,607500000.0,35184500000.0,6761300000.0
June 2018,783600000.0,206700000.0,623300000.0,33271500000.0,6297800000.0
September 2018,701000000.0,144100000.0,577300000.0,33455600000.0,6541700000.0
December 2018,782800000.0,148800000.0,632900000.0,32734900000.0,6367700000.0
March 2019,781200000.0,172600000.0,607900000.0,31906600000.0,6262300000.0
June 2019,837100000.0,147600000.0,668600000.0,31816900000.0,6265400000.0
September 2019,748700000.0,167900000.0,632700000.0,31053500000.0,6645100000.0
December 2019,815100000.0,151800000.0,654400000.0,31255500000.0,6757300000.0
March 2020,721400000.0,114200000.0,605400000.0,30145900000.0,6600500000.0
June 2020,891500000.0,156300000.0,719400000.0,30155400000.0,6464600000.0
September 2020,807100000.0,129800000.0,658400000.0,31243100000.0,7334700000.0
