,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2020,,,-5000.0,163513.0,,
December 2020,,,-85838.0,116633898.0,1618981.0,
March 2021,350455.0,0.0,-76291.0,116492424.0,1459692.0,
June 2021,32681999.0,29867218.0,-32685779.0,116370091.0,1331219.0,
September 2021,,,-2092025.0,116247146.0,1206793.0,
December 2021,,,30311441.0,115836314.0,793706.0,45739.0
March 2022,15942315.0,10254863.0,-2703721.0,231210291.0,116159252.0,
June 2022,17652177.0,11400541.0,-12120719.0,98433652.0,98377681.0,55971.0
