,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,302000.0,162500.0,,,
June 2010,343000.0,162500.0,,,
September 2010,379000.0,203000.0,,,
December 2010,371000.0,-302000.0,1002000.0,846000.0,
March 2011,397000.0,-402000.0,,,
June 2011,440000.0,-473000.0,739000.0,617000.0,
September 2011,313000.0,121000.0,1102000.0,873000.0,
December 2011,405000.0,-179000.0,1130000.0,883000.0,
March 2012,398000.0,-352000.0,1222000.0,930000.0,
June 2012,314000.0,212000.0,1530000.0,1271000.0,
September 2012,414000.0,48000.0,1440000.0,1126000.0,
December 2012,534000.0,-154000.0,1359000.0,1051000.0,
March 2013,399000.0,57000.0,2248000.0,1965000.0,
June 2013,378000.0,205000.0,2087000.0,1782000.0,
September 2013,361000.0,173000.0,2575000.0,2278000.0,
December 2013,441000.0,188000.0,2417000.0,2069000.0,
March 2014,479000.0,-270000.0,1788000.0,1301000.0,
June 2014,520000.0,-22000.0,1788000.0,1319000.0,
September 2014,443000.0,147000.0,3004000.0,2545000.0,
December 2014,499000.0,-129000.0,2312000.0,1860000.0,
March 2015,538000.0,-310000.0,1943000.0,1371000.0,
June 2015,511000.0,-4000.0,3181000.0,2615000.0,
September 2015,592000.0,-432000.0,2286000.0,1743000.0,
December 2015,674000.0,-503000.0,1325000.0,796000.0,
March 2016,730000.0,-544000.0,1589000.0,1135000.0,
June 2016,670000.0,-387000.0,1642000.0,1234000.0,
September 2016,508000.0,-280000.0,1246000.0,891000.0,
December 2016,591000.0,-341000.0,1277000.0,929000.0,
March 2017,585000.0,-351000.0,1180000.0,879000.0,
June 2017,594000.0,-438000.0,1268000.0,1022000.0,
September 2017,617000.0,568000.0,1409000.0,1209000.0,
December 2017,366000.0,191000.0,1452000.0,1290000.0,
March 2018,303000.0,346000.0,1765000.0,1558000.0,
June 2018,200000.0,474000.0,2123000.0,1862000.0,
September 2018,329000.0,617000.0,2507000.0,2179000.0,
December 2018,405000.0,850000.0,4069000.0,3710000.0,359000.0
March 2019,182000.0,947000.0,4542000.0,2628000.0,1914000.0
June 2019,296000.0,1758000.0,6415000.0,4507000.0,1908000.0
September 2019,297000.0,1464000.0,6764000.0,4951000.0,1813000.0
December 2019,539000.0,296000.0,6835000.0,5052000.0,1783000.0
March 2020,753000.0,-465000.0,6126000.0,4418000.0,
June 2020,907000.0,-715000.0,5938000.0,4327000.0,1611000.0
September 2020,1081000.0,-1409000.0,4785000.0,3182000.0,1603000.0
December 2020,1056000.0,-3929000.0,19882000.0,18307000.0,1575000.0
March 2021,1469000.0,-3903000.0,16822000.0,15077000.0,1745000.0
June 2021,1530000.0,-4951000.0,13843000.0,11466000.0,2377000.0
September 2021,1863000.0,-6097000.0,12777000.0,8837000.0,3940000.0
December 2021,1466000.0,-3851000.0,9233000.0,5490000.0,3743000.0
March 2022,1650000.0,-4054000.0,11416000.0,7901000.0,3515000.0
June 2022,1486000.0,-4065000.0,12542000.0,9091000.0,3451000.0
