,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,751000.0,194750.0,,
June 2009,751000.0,194750.0,,
September 2009,751000.0,194750.0,,
December 2009,751000.0,194750.0,,
March 2010,904000.0,295000.0,,
June 2010,606000.0,298000.0,,
September 2010,409000.0,364000.0,,
December 2010,602000.0,369000.0,6172000.0,5706000.0
March 2011,434000.0,552000.0,,
June 2011,387000.0,689000.0,12574000.0,12114000.0
September 2011,483000.0,711000.0,11585000.0,11082000.0
December 2011,371000.0,803000.0,10667000.0,10200000.0
March 2012,483000.0,822000.0,9554000.0,9124000.0
June 2012,667000.0,752000.0,8632000.0,8154000.0
September 2012,676000.0,745000.0,7410000.0,6960000.0
December 2012,657000.0,848000.0,11856000.0,11399000.0
March 2013,705000.0,774000.0,10537000.0,10090000.0
June 2013,757000.0,773000.0,9080000.0,8654000.0
September 2013,840000.0,736000.0,7642000.0,7228000.0
December 2013,773000.0,785000.0,6309000.0,5909000.0
March 2014,639000.0,814000.0,8738000.0,8351000.0
June 2014,652000.0,795000.0,7353000.0,6977000.0
September 2014,604000.0,826000.0,5993000.0,5630000.0
December 2014,608000.0,715000.0,4738000.0,4385000.0
March 2015,386000.0,463000.0,3921000.0,3579000.0
June 2015,433000.0,444000.0,2162000.0,2146000.0
