,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2013,38318250.0,3277000.0,2976000.0,
June 2013,38318250.0,4283000.0,3915000.0,
September 2013,38318250.0,5682000.0,2438000.0,
December 2013,38318250.0,10380000.0,3050000.0,312639000.0
March 2014,44277000.0,7003000.0,3368000.0,
June 2014,95671000.0,11320000.0,5338000.0,612774000.0
September 2014,95671000.0,12584000.0,4127000.0,638593000.0
December 2014,95671000.0,15888000.0,7189000.0,675979000.0
March 2015,147244000.0,20932000.0,6351000.0,718170000.0
June 2015,,22812000.0,9798000.0,781119000.0
September 2015,,22175000.0,10583000.0,860055000.0
December 2015,,21921000.0,13158000.0,917741000.0
March 2016,,25185000.0,7983000.0,957621000.0
June 2016,,31383000.0,13142000.0,971112000.0
September 2016,,30944000.0,13342000.0,1001371000.0
December 2016,,34712000.0,15073000.0,1007528000.0
March 2017,,33212000.0,8799000.0,1026026000.0
June 2017,,34220000.0,14831000.0,1405506000.0
September 2017,,46165000.0,9470000.0,1631008000.0
December 2017,,62707000.0,17195000.0,1735022000.0
March 2018,,56522000.0,20019000.0,1740485000.0
June 2018,,63634000.0,33193000.0,1985673000.0
September 2018,,70975000.0,17048000.0,2152494000.0
December 2018,,72850000.0,26195000.0,2254255000.0
March 2019,,68936000.0,17117000.0,2323065000.0
June 2019,,75217000.0,15495000.0,2410373000.0
September 2019,,72834000.0,27024000.0,2489562000.0
December 2019,,84538000.0,53358000.0,2499967000.0
March 2020,,73619000.0,26126000.0,2910438000.0
June 2020,,86706000.0,38450000.0,2551782000.0
September 2020,,85806000.0,49764000.0,2591361000.0
December 2020,,95579000.0,91817000.0,2845093000.0
March 2021,,92151000.0,101652000.0,2951684000.0
June 2021,,99656000.0,117910000.0,2894253000.0
September 2021,,90154000.0,113977000.0,3210872000.0
December 2021,,107649000.0,164965000.0,3496876000.0
March 2022,,101639000.0,142496000.0,3495501000.0
June 2022,,109158000.0,158668000.0,3772735000.0
