,NetIncomeLoss,Assets
March 2008,5122000.0,
June 2008,5122000.0,
September 2008,5122000.0,
December 2008,5122000.0,
March 2009,6358000.0,
June 2009,6549000.0,11359536000.0
September 2009,31995000.0,12136021000.0
December 2009,28167000.0,12215620000.0
March 2010,16017000.0,12839978000.0
June 2010,13009000.0,13708560000.0
September 2010,20098000.0,14100368000.0
December 2010,14205000.0,13980156000.0
March 2011,16402000.0,14094294000.0
June 2011,11750000.0,14615897000.0
September 2011,30202000.0,15914804000.0
December 2011,19221000.0,15893808000.0
March 2012,23210000.0,16172018000.0
June 2012,25595000.0,16576282000.0
September 2012,32302000.0,17018592000.0
December 2012,30089000.0,17519613000.0
March 2013,32052000.0,17074247000.0
June 2013,34307000.0,17613546000.0
September 2013,35563000.0,17682548000.0
December 2013,35288000.0,18097783000.0
March 2014,34500000.0,18221163000.0
June 2014,38541000.0,18895681000.0
September 2014,40224000.0,19169345000.0
December 2014,38133000.0,20010727000.0
March 2015,39052000.0,20382271000.0
June 2015,43831000.0,20799924000.0
September 2015,38355000.0,22043930000.0
December 2015,35512000.0,22909348000.0
March 2016,49111000.0,23488168000.0
June 2016,50041000.0,24420616000.0
September 2016,53115000.0,25321759000.0
December 2016,54608000.0,25668553000.0
March 2017,58378000.0,25778893000.0
June 2017,64897000.0,26929265000.0
September 2017,65626000.0,27358162000.0
December 2017,68781000.0,27915970000.0
March 2018,81981000.0,28456772000.0
June 2018,89580000.0,29464588000.0
September 2018,91948000.0,30142731000.0
December 2018,79657000.0,31244849000.0
March 2019,89146000.0,32358621000.0
June 2019,81466000.0,33641769000.0
September 2019,99121000.0,34911902000.0
December 2019,85964000.0,36620583000.0
March 2020,62812000.0,38799847000.0
June 2020,21659000.0,43540017000.0
September 2020,107315000.0,43731718000.0
December 2020,101204000.0,45080768000.0
March 2021,153148000.0,45682202000.0
June 2021,105109000.0,46738450000.0
September 2021,109137000.0,47832271000.0
December 2021,98757000.0,50142143000.0
March 2022,127391000.0,50250661000.0
June 2022,94513000.0,50969332000.0
