,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,8759750.0,29250250.0,-14430250.0,,
June 2009,8759750.0,29250250.0,-14430250.0,,
September 2009,8759750.0,29250250.0,-14430250.0,,
December 2009,8759750.0,29250250.0,-14430250.0,504672000.0,
March 2010,10820000.0,35782000.0,16550000.0,,
June 2010,10736000.0,36592000.0,18385000.0,,
September 2010,11381000.0,36478000.0,22418000.0,,
December 2010,10997000.0,38199000.0,27003000.0,601385000.0,387091000.0
March 2011,12532000.0,35790000.0,29175000.0,,
June 2011,12462000.0,39126000.0,32522000.0,672266000.0,461098000.0
September 2011,11957000.0,33533000.0,21988000.0,676310000.0,467742000.0
December 2011,11029000.0,32398000.0,40161000.0,724663000.0,502999000.0
March 2012,11989000.0,35048000.0,17859000.0,735654000.0,514600000.0
June 2012,12726000.0,35989000.0,21673000.0,768727000.0,534976000.0
September 2012,13314000.0,39095000.0,18037000.0,797147000.0,559507000.0
December 2012,12911000.0,37273000.0,11256000.0,811544000.0,579324000.0
March 2013,12173000.0,32421000.0,16397000.0,805849000.0,569738000.0
June 2013,13427000.0,35397000.0,19781000.0,831938000.0,570428000.0
September 2013,13947000.0,31746000.0,17807000.0,847659000.0,585906000.0
December 2013,15773000.0,37559000.0,20541000.0,875294000.0,612305000.0
March 2014,15690000.0,34787000.0,14312000.0,883502000.0,616059000.0
June 2014,21581000.0,82347000.0,-14669000.0,1863529000.0,805486000.0
September 2014,24427000.0,55820000.0,-1068000.0,1795220000.0,782896000.0
December 2014,26013000.0,58879000.0,9312000.0,1748307000.0,765655000.0
March 2015,25800000.0,50890000.0,14872000.0,1732804000.0,746349000.0
June 2015,26542000.0,50270000.0,24448000.0,1696483000.0,726626000.0
September 2015,26841000.0,46730000.0,23403000.0,1678448000.0,724244000.0
December 2015,26717000.0,51024000.0,17573000.0,1646697000.0,710762000.0
March 2016,25902000.0,47956000.0,16212000.0,1653830000.0,719781000.0
June 2016,28146000.0,53597000.0,32890000.0,1695482000.0,772173000.0
September 2016,25720000.0,51614000.0,21947000.0,1713592000.0,801032000.0
December 2016,27223000.0,48734000.0,26098000.0,1699532000.0,800131000.0
March 2017,27239000.0,50492000.0,32514000.0,1696094000.0,791752000.0
June 2017,27221000.0,52985000.0,39991000.0,1727443000.0,808993000.0
September 2017,26002000.0,57699000.0,40902000.0,1757749000.0,848501000.0
December 2017,26489000.0,55018000.0,-28341000.0,1976172000.0,1057608000.0
March 2018,27586000.0,58269000.0,57562000.0,1961330000.0,1011050000.0
June 2018,30231000.0,65200000.0,54349000.0,2066108000.0,774226000.0
September 2018,29964000.0,62358000.0,48060000.0,2103456000.0,820946000.0
December 2018,30675000.0,60707000.0,80784000.0,2317641000.0,1029338000.0
March 2019,28991000.0,82254000.0,32658000.0,2314008000.0,922812000.0
June 2019,30624000.0,64150000.0,123997000.0,2424722000.0,1048454000.0
September 2019,31173000.0,71232000.0,40767000.0,2467684000.0,884240000.0
December 2019,30352000.0,67171000.0,57438000.0,2516086000.0,932397000.0
March 2020,29632000.0,58891000.0,61006000.0,2598565000.0,966306000.0
June 2020,32572000.0,66872000.0,68036000.0,2804040000.0,1188847000.0
September 2020,36295000.0,71195000.0,79303000.0,2801628000.0,1146450000.0
December 2020,37558000.0,68170000.0,86624000.0,2917696000.0,1234257000.0
March 2021,37748000.0,71389000.0,84676000.0,2933539000.0,1244606000.0
June 2021,41972000.0,72621000.0,88770000.0,2872731000.0,1159236000.0
September 2021,41972000.0,71032000.0,117461000.0,3012275000.0,1275705000.0
December 2021,45940000.0,77366000.0,118219000.0,3191896000.0,1313370000.0
March 2022,46715000.0,87108000.0,125705000.0,3283440000.0,1369335000.0
June 2022,49248000.0,90685000.0,99491000.0,5861171000.0,3876158000.0
