,OperatingExpenses,Assets,AssetsCurrent,AssetsNoncurrent
March 2012,240293250.0,,,
June 2012,240293250.0,,,
September 2012,240293250.0,,,
December 2012,240293250.0,,,
March 2013,237917000.0,,,
June 2013,237917000.0,,,
September 2013,248062000.0,,,
December 2013,242423000.0,3563285000.0,388718000.0,160430000.0
March 2014,223514000.0,,,
June 2014,241965000.0,,,
September 2014,302513000.0,3910568000.0,499596000.0,183671000.0
December 2014,271221000.0,4232422000.0,523980000.0,235928000.0
March 2015,245199000.0,4262915000.0,506556000.0,259879000.0
June 2015,265785000.0,4350064000.0,589469000.0,245913000.0
September 2015,288393000.0,4310788000.0,524183000.0,246398000.0
December 2015,247864000.0,4249478000.0,422072000.0,229608000.0
March 2016,231528000.0,4235856000.0,388944000.0,245379000.0
June 2016,245779000.0,4293687000.0,420800000.0,249213000.0
September 2016,272263000.0,4416809000.0,427452000.0,256619000.0
December 2016,242294000.0,4449989000.0,359008000.0,263155000.0
March 2017,231232000.0,4486653000.0,344143000.0,261675000.0
June 2017,245287000.0,4488841000.0,408420000.0,304090000.0
September 2017,278952000.0,4575172000.0,469598000.0,355813000.0
December 2017,259138000.0,4590249000.0,412597000.0,357690000.0
March 2018,232446000.0,4607674000.0,396611000.0,365759000.0
June 2018,271723000.0,4881155000.0,442972000.0,374991000.0
September 2018,333613000.0,5006187000.0,479528000.0,367113000.0
December 2018,306692000.0,5159207000.0,577479000.0,370136000.0
March 2019,290121000.0,5172789000.0,530126000.0,380115000.0
June 2019,258951000.0,5217939000.0,517365000.0,388847000.0
September 2019,306888000.0,5303016000.0,532061000.0,388376000.0
December 2019,,5489157000.0,473306000.0,418819000.0
March 2020,246849000.0,5753571000.0,442996000.0,
June 2020,262753000.0,5909336000.0,528635000.0,
September 2020,337212000.0,6117719000.0,681223000.0,
December 2020,,6090127000.0,546683000.0,
March 2021,304578000.0,6112257000.0,558453000.0,
June 2021,309012000.0,6585884000.0,972247000.0,
September 2021,376112000.0,6452230000.0,780728000.0,
December 2021,,6321740000.0,531274000.0,
March 2022,295910000.0,6547945000.0,688078000.0,
June 2022,358834000.0,6639976000.0,770952000.0,
