,OperatingExpenses,NetIncomeLoss,Assets
June 2016,61666.666666666664,-50000.0,
September 2016,61666.666666666664,-50000.0,
December 2016,61666.666666666664,-50000.0,
March 2017,479000.0,-245000.0,
June 2017,457000.0,-495000.0,
September 2017,408000.0,-397000.0,
December 2017,926000.0,-732000.0,48676000.0
March 2018,1480000.0,-457000.0,59680000.0
June 2018,1919000.0,-719000.0,58508000.0
September 2018,2096000.0,-748000.0,79055000.0
December 2018,1497000.0,673000.0,48777000.0
March 2019,1607000.0,-300000.0,68362000.0
June 2019,1501000.0,-686000.0,68694000.0
