,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2008,156893000.0,22424500.0,,,
December 2008,156893000.0,22424500.0,,,
March 2009,156893000.0,22424500.0,,,
June 2009,156893000.0,22424500.0,2006079000.0,,1281247000.0
September 2009,171795000.0,23855000.0,,,
December 2009,172603000.0,26052000.0,,,
March 2010,171451000.0,26708000.0,,,
June 2010,177887000.0,29900000.0,2244766000.0,840746000.0,1404020000.0
September 2010,179322000.0,28655000.0,2119604000.0,707519000.0,
December 2010,185247000.0,33235000.0,2202330000.0,660010000.0,
March 2011,191403000.0,36427000.0,2270413000.0,727395000.0,
June 2011,185680000.0,45901000.0,2320131000.0,782078000.0,1538053000.0
September 2011,200282000.0,42140000.0,2303424000.0,674362000.0,
December 2011,204541000.0,41061000.0,2413137000.0,723865000.0,
March 2012,208843000.0,40856000.0,2469092000.0,762065000.0,
June 2012,206106000.0,43397000.0,2392876000.0,685792000.0,1707084000.0
September 2012,207623000.0,35708000.0,2435943000.0,682804000.0,
December 2012,209068000.0,39676000.0,2499566000.0,699335000.0,
March 2013,200684000.0,38367000.0,2517222000.0,732484000.0,
June 2013,204090000.0,37938000.0,2501265000.0,723781000.0,1773290000.0
September 2013,188710000.0,32992000.0,2550249000.0,778315000.0,
December 2013,204830000.0,34962000.0,3519359000.0,871592000.0,
March 2014,216164000.0,30828000.0,3390707000.0,753158000.0,
June 2014,205754000.0,36534000.0,3330257000.0,735849000.0,2623289000.0
September 2014,200827000.0,31130000.0,3320285000.0,718259000.0,
December 2014,204406000.0,24642000.0,3300375000.0,714044000.0,
March 2015,205174000.0,29039000.0,3268325000.0,696732000.0,
June 2015,206996000.0,41384000.0,3257116000.0,676460000.0,2575920000.0
September 2015,205700000.0,34632000.0,3205062000.0,629670000.0,
December 2015,213144000.0,30452000.0,3253285000.0,675658000.0,
March 2016,249477000.0,34028000.0,3979418000.0,873075000.0,
June 2016,258597000.0,43599000.0,3987341000.0,921838000.0,3065503000.0
September 2016,257338000.0,36663000.0,3912209000.0,860700000.0,
December 2016,253822000.0,42420000.0,3897165000.0,860050000.0,
March 2017,269237000.0,40357000.0,3889374000.0,854400000.0,
June 2017,270395000.0,44231000.0,3911082000.0,879902000.0,3031180000.0
September 2017,261244000.0,42046000.0,3966013000.0,933229000.0,
December 2017,254180000.0,142795000.0,3984133000.0,888166000.0,
March 2018,273145000.0,64499000.0,4047400000.0,953347000.0,
June 2018,287787000.0,51831000.0,4034206000.0,931191000.0,3103015000.0
September 2018,264757000.0,78833000.0,4251155000.0,1094125000.0,
December 2018,269677000.0,68596000.0,4290618000.0,1157413000.0,
March 2019,324828000.0,68145000.0,5133019000.0,1083054000.0,
June 2019,359282000.0,50030000.0,5086843000.0,1031520000.0,4055323000.0
September 2019,357592000.0,67977000.0,5438184000.0,1042268000.0,
December 2019,352448000.0,79195000.0,5526696000.0,1024069000.0,
March 2020,371135000.0,80577000.0,5546475000.0,1074366000.0,
June 2020,351427000.0,93731000.0,5542472000.0,1085886000.0,4456586000.0
September 2020,355004000.0,93644000.0,5950368000.0,1100872000.0,
December 2020,347807000.0,106478000.0,5851485000.0,995706000.0,
March 2021,369015000.0,120344000.0,5970415000.0,1128685000.0,
June 2021,376788000.0,136977000.0,6172372000.0,1331176000.0,4841196000.0
September 2021,357106000.0,88109000.0,6179310000.0,1242173000.0,
December 2021,354977000.0,90299000.0,6750690000.0,1335061000.0,
March 2022,402227000.0,95417000.0,6576749000.0,1193243000.0,
June 2022,406409000.0,92969000.0,6629431000.0,1209638000.0,5419793000.0
