,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,,
June 2010,11713389000.0,894885000.0,1779496000.0
September 2010,12068963000.0,1199616000.0,1757357000.0
December 2010,11700283000.0,731938000.0,1791136000.0
March 2011,11517655000.0,753879000.0,1712891000.0
June 2011,11642779000.0,800093000.0,1687884000.0
September 2011,11766765000.0,928098000.0,1593585000.0
December 2011,11635128000.0,772520000.0,1578514000.0
March 2012,11627411000.0,723314000.0,1573914000.0
June 2012,11822783000.0,876403000.0,1546178000.0
September 2012,12016059000.0,1079181000.0,1496565000.0
December 2012,11984136000.0,911049000.0,1590453000.0
March 2013,11878633000.0,844802000.0,1546647000.0
June 2013,12053241000.0,1013305000.0,1507867000.0
September 2013,12265166000.0,1229365000.0,1480529000.0
