,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,-1588250.0,,
June 2009,,-1588250.0,,
September 2009,,-1588250.0,,
December 2009,,-1588250.0,,
March 2010,,-1068000.0,,
June 2010,,5176000.0,,
September 2010,,10304000.0,,
December 2010,,5953000.0,162627000.0,70408000.0
March 2011,,4584000.0,,
June 2011,,5185000.0,165952000.0,76267000.0
September 2011,,4622000.0,172194000.0,84298000.0
December 2011,,4234000.0,166751000.0,76772000.0
March 2012,21500.0,6226000.0,161131000.0,75401000.0
June 2012,21500.0,6202000.0,154474000.0,67468000.0
September 2012,308000.0,5661000.0,159524000.0,74916000.0
December 2012,298000.0,1610000.0,146353000.0,62208000.0
March 2013,167000.0,2205000.0,131089000.0,64564000.0
June 2013,1100000.0,1571000.0,140746000.0,63061000.0
September 2013,2100000.0,-1485000.0,134551000.0,62511000.0
December 2013,933000.0,119000.0,131089000.0,54591000.0
March 2014,0.0,-2784000.0,126704000.0,52612000.0
June 2014,0.0,-2035000.0,125343000.0,52926000.0
September 2014,0.0,-3906000.0,125977000.0,54819000.0
December 2014,0.0,-21969000.0,104581000.0,50122000.0
March 2015,,-1224000.0,103250000.0,47626000.0
June 2015,,-24840000.0,84515000.0,47468000.0
September 2015,,-4328000.0,80939000.0,44554000.0
December 2015,,-14096000.0,70030000.0,44102000.0
March 2016,,-4266000.0,84984000.0,58907000.0
June 2016,,-5307000.0,76985000.0,52505000.0
September 2016,,-8108000.0,68527000.0,43013000.0
December 2016,,-12788000.0,52857000.0,31411000.0
March 2017,,-4802000.0,47224000.0,25731000.0
June 2017,,-8603000.0,49179000.0,27652000.0
September 2017,,-3996000.0,44230000.0,22779000.0
December 2017,,3077000.0,46479000.0,24159000.0
March 2018,,1793000.0,42070000.0,19670000.0
June 2018,,-597000.0,41063000.0,19782000.0
September 2018,,-1109000.0,37736000.0,17658000.0
