,NetIncomeLoss,Assets
December 2013,112432000.0,40176996000.0
March 2014,61326000.0,43439831000.0
June 2014,83561000.0,43609986000.0
September 2014,-99759000.0,44764080000.0
December 2014,11682000.0,44517648000.0
March 2015,59833000.0,43786728000.0
June 2015,2057000.0,44141835000.0
September 2015,19962000.0,42784678000.0
December 2015,-166813000.0,38565142000.0
March 2016,53898000.0,35192869000.0
June 2016,41169000.0,37120029000.0
September 2016,87180000.0,38127677000.0
December 2016,114019000.0,36941276000.0
March 2017,69751000.0,37703367000.0
June 2017,83815000.0,40079007000.0
September 2017,89913000.0,39358421000.0
December 2017,-60818000.0,39705691000.0
March 2018,98004000.0,41162990000.0
June 2018,60182000.0,41123471000.0
September 2018,61393000.0,40572473000.0
December 2018,45981000.0,41168773000.0
March 2019,109920000.0,43133748000.0
June 2019,64968000.0,42817581000.0
September 2019,25160000.0,43093588000.0
December 2019,173389000.0,43516115000.0
March 2020,130738000.0,46202597000.0
June 2020,268062000.0,45084417000.0
September 2020,307114000.0,46660448000.0
December 2020,494068000.0,47751997000.0
March 2021,318816000.0,51386411000.0
June 2021,419751000.0,52171073000.0
September 2021,386096000.0,52046816000.0
December 2021,341410000.0,54768900000.0
March 2022,140027000.0,55899398000.0
June 2022,66545000.0,53156330000.0
