,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,529996250.0,1050930000.0,,,
June 2007,529996250.0,1050930000.0,,,
September 2007,529996250.0,1050930000.0,,,
December 2007,529996250.0,1050930000.0,,,
March 2008,673069000.0,1307086000.0,,,
June 2008,682210000.0,1247391000.0,,,
September 2008,704571000.0,1289938000.0,,,
December 2008,733150000.0,382585000.0,31767575000.0,20178182000.0,
March 2009,642000000.0,1423000000.0,,,
June 2009,708000000.0,1485000000.0,35158760000.0,23834853000.0,
September 2009,758000000.0,1639000000.0,37702845000.0,26353544000.0,
December 2009,735000000.0,1973000000.0,40497000000.0,29167000000.0,11330000000.0
March 2010,818000000.0,1955000000.0,42871000000.0,31132000000.0,
June 2010,898000000.0,1840000000.0,48045000000.0,35161000000.0,12884000000.0
September 2010,994000000.0,2167000000.0,53342000000.0,39447000000.0,13895000000.0
December 2010,1052000000.0,2543000000.0,57851000000.0,41562000000.0,16289000000.0
March 2011,1226000000.0,1798000000.0,59960000000.0,43310000000.0,16650000000.0
June 2011,1234000000.0,2505000000.0,64861000000.0,46442000000.0,18419000000.0
September 2011,1404000000.0,2729000000.0,69088000000.0,50042000000.0,19046000000.0
December 2011,1298000000.0,2705000000.0,72574000000.0,52758000000.0,19816000000.0
March 2012,1441000000.0,2890000000.0,77144000000.0,56859000000.0,20285000000.0
June 2012,1538000000.0,2785000000.0,86051000000.0,53857000000.0,32194000000.0
September 2012,1879000000.0,2176000000.0,89730000000.0,56821000000.0,32909000000.0
December 2012,1225000000.0,2886000000.0,93798000000.0,60454000000.0,33344000000.0
March 2013,1617000000.0,3346000000.0,96692000000.0,62808000000.0,33884000000.0
June 2013,1766000000.0,3228000000.0,101182000000.0,66861000000.0,34321000000.0
September 2013,2017000000.0,2970000000.0,105068000000.0,68858000000.0,36210000000.0
December 2013,1737000000.0,3376000000.0,110920000000.0,72886000000.0,38034000000.0
March 2014,2126000000.0,3452000000.0,116526000000.0,75314000000.0,41212000000.0
June 2014,2238000000.0,3351000000.0,121608000000.0,77905000000.0,43703000000.0
September 2014,2655000000.0,2813000000.0,125781000000.0,80115000000.0,45666000000.0
December 2014,2813000000.0,4828000000.0,130426000000.0,79978000000.0,50448000000.0
March 2015,2753000000.0,3515000000.0,133400000000.0,80313000000.0,53087000000.0
June 2015,2789000000.0,3931000000.0,138807000000.0,84164000000.0,54643000000.0
September 2015,3230000000.0,3979000000.0,144281000000.0,88103000000.0,56178000000.0
