,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,,547270.0,,
June 2010,,547270.0,,
September 2010,,760156.0,,
December 2010,,883559.0,13266629.0,7673199.0
March 2011,61509.5,-2024651.0,,
June 2011,61509.5,-1653819.0,,
September 2011,61509.5,-1445871.0,26410489.0,21235466.0
December 2011,61509.5,1988247.0,24887006.0,18913734.0
March 2012,36149.333333333336,-670977.0,24452685.0,18371834.0
June 2012,36149.333333333336,272414.0,,
September 2012,36149.333333333336,968632.0,28841613.0,22201449.0
December 2012,182243.0,-780316.0,28849160.0,22367919.0
March 2013,,-676329.0,28655285.0,21735786.0
June 2013,,118164.0,29466103.0,21919436.0
September 2013,,-302084.0,28809418.0,19696178.0
