,OperatingExpenses,NetIncomeLoss,Assets
March 2009,5388805.75,403134.5,
June 2009,5388805.75,403134.5,
September 2009,5388805.75,403134.5,
December 2009,5388805.75,403134.5,
March 2010,5498093.0,-298702.5,
June 2010,5286199.0,-298702.5,
September 2010,5654387.0,-781491.0,
December 2010,5477985.0,19664.0,121276735.0
March 2011,5773941.0,172812.0,
June 2011,5508842.0,8093130.0,128730683.0
September 2011,5665232.0,456926.0,127702869.0
December 2011,5722971.0,568257.0,125376764.0
March 2012,5861694.0,626953.0,123972230.0
June 2012,5346294.0,1047262.0,122814471.0
September 2012,5730319.0,774453.0,121658781.0
December 2012,5626758.0,1185131.0,121538490.0
March 2013,5980237.0,901625.0,116573516.0
June 2013,6113940.0,4469116.0,118140170.0
September 2013,7484223.0,-32874.0,177630695.0
December 2013,7654735.0,317518.0,185345157.0
March 2014,8053306.0,-29614.0,180149597.0
June 2014,7835735.0,281721.0,179706527.0
September 2014,7916421.0,181487.0,178859756.0
December 2014,7924264.0,591256.0,177777073.0
March 2015,8430376.0,409658.0,175672648.0
June 2015,7767467.0,1096457.0,177173638.0
September 2015,7874926.0,1073746.0,202397874.0
December 2015,8610725.0,1192704.0,202166216.0
March 2016,8768697.0,1230764.0,193830245.0
June 2016,9019667.0,980586.0,193572094.0
September 2016,9274045.0,1210747.0,192742688.0
December 2016,9232731.0,1528755.0,190562066.0
March 2017,9001696.0,1894234.0,190023575.0
June 2017,8817160.0,2483707.0,190983832.0
September 2017,10493852.0,871720.0,237783740.0
December 2017,10369714.0,1688270.0,226807236.0
March 2018,10297296.0,1878558.0,256119259.0
June 2018,10759024.0,53326.0,253760830.0
September 2018,11329228.0,660329.0,249981035.0
December 2018,10710144.0,1576877.0,247035340.0
March 2019,10930457.0,1500516.0,243174718.0
June 2019,10412256.0,1764244.0,244490263.0
September 2019,10978884.0,1383979.0,243665451.0
December 2019,10883950.0,1898513.0,294293649.0
March 2020,12031150.0,1368783.0,294681685.0
June 2020,11314637.0,1465051.0,294836275.0
September 2020,11914630.0,-439284.0,293087027.0
December 2020,11873260.0,-970022.0,291669602.0
March 2021,11693650.0,-294180.0,290132893.0
June 2021,11260112.0,569891.0,290207915.0
September 2021,12395436.0,-75385.0,288891234.0
December 2021,13046756.0,-2900489.0,356875579.0
March 2022,,342418.0,350202922.0
June 2022,,242985.0,389859084.0
