,OperatingExpenses,Assets,AssetsCurrent,AssetsNoncurrent
June 1999,34703.25581395349,,,
September 1999,34703.25581395349,,,
December 1999,34703.25581395349,,,
March 2000,34703.25581395349,,,
June 2000,34703.25581395349,,,
September 2000,34703.25581395349,,,
December 2000,34703.25581395349,,,
March 2001,34703.25581395349,,,
June 2001,34703.25581395349,,,
September 2001,34703.25581395349,,,
December 2001,34703.25581395349,,,
March 2002,34703.25581395349,,,
June 2002,34703.25581395349,,,
September 2002,34703.25581395349,,,
December 2002,34703.25581395349,,,
March 2003,34703.25581395349,,,
June 2003,34703.25581395349,,,
September 2003,34703.25581395349,,,
December 2003,34703.25581395349,,,
March 2004,34703.25581395349,,,
June 2004,34703.25581395349,,,
September 2004,34703.25581395349,,,
December 2004,34703.25581395349,,,
March 2005,34703.25581395349,,,
June 2005,34703.25581395349,,,
September 2005,34703.25581395349,,,
December 2005,34703.25581395349,,,
March 2006,34703.25581395349,,,
June 2006,34703.25581395349,,,
September 2006,34703.25581395349,,,
December 2006,34703.25581395349,,,
March 2007,34703.25581395349,,,
June 2007,34703.25581395349,,,
September 2007,34703.25581395349,,,
December 2007,34703.25581395349,,,
March 2008,34703.25581395349,,,
June 2008,34703.25581395349,,,
September 2008,34703.25581395349,,,
December 2008,34703.25581395349,,,
March 2009,34703.25581395349,,,
June 2009,34703.25581395349,,,
September 2009,34703.25581395349,,,
December 2009,34703.25581395349,,,
March 2010,7495.75,,,
June 2010,7495.75,,,
September 2010,7495.75,,,
December 2010,7495.75,16781.0,16781.0,0.0
March 2011,72461.0,,,
June 2011,15844.0,12475.0,12475.0,0.0
September 2011,21197.0,5277.0,5277.0,0.0
December 2011,20210.0,16797.0,16797.0,
March 2012,35133.0,2664.0,2664.0,
June 2012,31668.0,5997.0,5997.0,
September 2012,19038.0,6958.0,6958.0,
