,OperatingExpenses,Assets,AssetsCurrent
March 2010,59437.0,,
June 2010,58332.0,,
September 2010,53250.0,,
December 2010,23771.0,5890714.0,
March 2011,51430.0,,
June 2011,55597.0,4615449.0,
September 2011,49287.0,4618029.0,
December 2011,22982.0,4537684.0,
March 2012,47480.0,4332572.0,
June 2012,44717.0,4213706.0,
September 2012,29842.0,2833495.0,
December 2012,17493.0,2516398.0,
March 2013,35916.0,2478721.0,
June 2013,35696.0,2410007.0,
September 2013,29874.0,2363071.0,
December 2013,29038.0,2234155.0,494982.0
March 2014,36600.0,2169936.0,
June 2014,37150.0,2112333.0,391936.0
September 2014,189855.0,1965760.0,
