,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,1172013750.0,83898000.0,,,
June 2009,1172013750.0,83898000.0,,,
September 2009,1172013750.0,83898000.0,,,
December 2009,1172013750.0,83898000.0,,,
March 2010,1112756000.0,87600000.0,,,
June 2010,933082000.0,73348000.0,14229700000.0,,
September 2010,1043704000.0,101935000.0,14297600000.0,,
December 2010,1008734000.0,131300000.0,14472601000.0,1507000000.0,3397875000.0
March 2011,1007894000.0,115584000.0,14418500000.0,,
June 2011,869347000.0,78719000.0,14442346000.0,1337862000.0,3240695000.0
September 2011,911076000.0,91431000.0,14728717000.0,1327375000.0,3305279000.0
December 2011,883164000.0,114800000.0,15647066000.0,1357472000.0,3886529000.0
March 2012,885230000.0,100755000.0,15978354000.0,1523466000.0,3841689000.0
June 2012,1469169000.0,46200000.0,,,
September 2012,1448624000.0,209500000.0,27757562000.0,2138986000.0,9314771000.0
December 2012,1352558000.0,176600000.0,28302824000.0,2227295000.0,9470519000.0
March 2013,1576078000.0,229968000.0,28328661000.0,2158011000.0,9433101000.0
June 2013,1285286000.0,173100000.0,28196892000.0,2051093000.0,9214351000.0
September 2013,1493328000.0,211380000.0,28444318000.0,2018132000.0,9238290000.0
December 2013,1417077000.0,179200000.0,27795537000.0,2087049000.0,8132302000.0
March 2014,1822901000.0,237836000.0,28096870000.0,2365809000.0,8018034000.0
June 2014,1383624000.0,129247000.0,27790445000.0,2068475000.0,7743278000.0
September 2014,1451622000.0,236493000.0,27982311000.0,2101550000.0,7626151000.0
December 2014,1450860000.0,223600000.0,29740387000.0,2692465000.0,8438469000.0
March 2015,2015956000.0,255133000.0,29951765000.0,2792691000.0,8348366000.0
June 2015,1405046000.0,209387000.0,29879939000.0,2449929000.0,8350821000.0
September 2015,1463867000.0,237800000.0,30046026000.0,2367688000.0,8272313000.0
December 2015,1305794000.0,183700000.0,30580309000.0,2618786000.0,8069082000.0
March 2016,1567099000.0,246033000.0,30712475000.0,2590547000.0,8025235000.0
June 2016,1343762000.0,205529000.0,30882663000.0,2415284000.0,8018904000.0
September 2016,1529837000.0,267199000.0,31082337000.0,2414652000.0,7859742000.0
December 2016,1338572000.0,231100000.0,32053173000.0,2477672000.0,8224991000.0
March 2017,1596116000.0,261338000.0,32355176000.0,2511399000.0,8201879000.0
June 2017,1307124000.0,232629000.0,32658840000.0,2330814000.0,8256530000.0
September 2017,1485909000.0,262200000.0,33163620000.0,2403470000.0,8222846000.0
December 2017,1444649000.0,239400000.0,36220386000.0,2487099000.0,10115824000.0
March 2018,1845430000.0,271400000.0,37039983000.0,2771436000.0,10309859000.0
June 2018,1462502000.0,244647000.0,37244344000.0,2277590000.0,10489864000.0
September 2018,1805404000.0,291260000.0,37515669000.0,2153371000.0,10394596000.0
December 2018,1634935000.0,233200000.0,38241256000.0,2292224000.0,10338604000.0
March 2019,1921092000.0,310558000.0,38941007000.0,2300864000.0,10607362000.0
June 2019,1733507000.0,33334000.0,38995906000.0,2131697000.0,10559763000.0
September 2019,1666559000.0,320764000.0,39725394000.0,2220905000.0,10592612000.0
December 2019,1614821000.0,251900000.0,41123915000.0,2414539000.0,11123906000.0
March 2020,1834606000.0,336633000.0,41648986000.0,2562670000.0,
June 2020,1519473000.0,254112000.0,42038718000.0,2405413000.0,
September 2020,1782412000.0,348140000.0,43507345000.0,3220413000.0,
December 2020,1779205000.0,273801000.0,46099598000.0,3130143000.0,
March 2021,2240272000.0,368023000.0,46518215000.0,3146879000.0,
June 2021,1670933000.0,266400000.0,47234640000.0,3268839000.0,
September 2021,1949463000.0,285046000.0,48014055000.0,3073553000.0,
December 2021,2009096000.0,308577000.0,48492144000.0,3270120000.0,
March 2022,2808255000.0,445326000.0,49289152000.0,3473683000.0,
June 2022,2117072000.0,293742000.0,49916240000.0,3268043000.0,
