,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,461690.0,2372029.0,-2827726.0,,,
June 2010,,350965.0,2704020.0,-2779314.0,,,
September 2010,,472045.0,2121240.0,-2254036.0,,,
December 2010,,376619.0,2627235.0,-3334942.0,,,
March 2011,,273409.0,2162075.0,-2026806.0,4506810.0,1851955.0,
June 2011,,382371.0,5697564.0,-5800268.0,,,
September 2011,,337631.0,2895689.0,-3272639.0,4605113.0,2227171.0,
December 2011,,334722.0,2303963.0,-3053991.0,4620365.0,2343984.0,
March 2012,,316491.0,2300302.0,-3081733.0,4138870.0,2336732.0,
June 2012,,380201.0,2227156.0,-3347900.0,3821566.0,2129766.0,
September 2012,,312262.0,3496624.0,-2152641.0,3380267.0,1714530.0,
December 2012,,304862.0,5353079.0,-6565574.0,3683117.0,2170273.0,
March 2013,2598462.25,398798.0,2565170.0,-2979243.0,3090336.0,1603780.0,
June 2013,2598462.25,304902.0,2274255.0,-3731071.0,2932046.0,1592143.0,
September 2013,2598462.25,387056.0,1847365.0,-2582751.0,3049311.0,1794376.0,
December 2013,2598462.25,203863.0,2315438.0,-3431093.0,3201244.0,1885108.0,
March 2014,3428349.0,304003.0,3124346.0,-4008292.0,394691.0,297598.0,
June 2014,3493954.0,361371.0,3132583.0,-4023102.0,1611959.0,1374689.0,
September 2014,1459046.0,162831.0,1296215.0,-2109281.0,,,
December 2014,1361952.0,16930.0,1345022.0,-2146577.0,1277524.0,1104106.0,
March 2015,1593176.0,137487.0,1455689.0,-2241611.0,255492.0,154409.0,
June 2015,883869.0,94735.0,789134.0,-1579183.0,179065.0,78695.0,
September 2015,839914.0,105298.0,734616.0,-1656723.0,203219.0,112851.0,
December 2015,60549.0,58207.0,2342.0,-1127450.0,199233.0,108942.0,
March 2016,650765.0,33788.0,616977.0,-1406657.0,130785.0,40572.0,
June 2016,968597.3333333334,100.0,231444.0,-1055347.0,366988.0,366988.0,
September 2016,968597.3333333334,321.0,470725.0,-1073720.0,442388.0,442388.0,
December 2016,968597.3333333334,1.0,2203201.0,-4195609.0,117768.0,117768.0,
March 2017,567996.0,0.0,567996.0,-2383360.0,262263.0,258763.0,
June 2017,362807.0,0.0,362807.0,-1170630.0,1233757.0,980257.0,
September 2017,847866.0,25250.0,822616.0,-1661534.0,1345385.0,1091885.0,
December 2017,4127337.0,77429.0,4049908.0,6916173.0,1438241.0,1184741.0,
March 2018,1134819.0,132853.0,1001966.0,-1036382.0,1040173.0,790173.0,
June 2018,3072336.0,31023.0,1049573.0,-3404933.0,516465.0,266465.0,
September 2018,929402.0,138417.0,790985.0,-1310445.0,326529.0,76529.0,
December 2018,-1051876.0,192343.0,747521.0,3249329.0,321826.0,71826.0,
March 2019,358305.0,44082.0,314223.0,-675321.0,668058.0,418058.0,
June 2019,245418.0,34359.0,211059.0,-211339.0,307859.0,57859.0,
September 2019,438124.0,30472.0,407652.0,1470317.0,396277.0,146277.0,
December 2019,639847.0,63469.0,326378.0,-3190523.0,477531.0,227531.0,
March 2020,377553.0,33994.0,343559.0,-606001.0,111330.0,111330.0,
June 2020,495397.0,63293.0,432104.0,2723392.0,227697.0,227697.0,
September 2020,328744.0,70217.0,258528.0,-589829.0,300540.0,300540.0,
December 2020,612994.0,69946.0,284411.0,-685034.0,293269.0,284645.0,8624.0
March 2021,893276.0,80595.0,736989.0,-905717.0,1942589.0,600070.0,
June 2021,577333.0,82168.0,495165.0,-1014527.0,1721868.0,403982.0,
September 2021,975375.0,207813.0,767561.0,-1245836.0,1703946.0,396858.0,
December 2021,959877.0,240152.0,795418.0,-825783.0,2100361.0,561465.0,
March 2022,1017210.0,166798.0,850412.0,-552201.0,2194515.0,549927.0,
June 2022,799797.0,244055.0,555742.0,-765963.0,1965241.0,387078.0,
