,NetIncomeLoss,Assets
December 2008,578940.5,
March 2009,578940.5,
June 2009,578940.5,
September 2009,578940.5,
December 2009,1944560.0,
March 2010,1944560.0,
June 2010,1199840.0,
September 2010,846030.0,1186081911.0
December 2010,275542.0,
March 2011,251750.0,
June 2011,1548841.0,955842376.0
September 2011,229219.0,1171710250.0
December 2011,488393.0,1116740756.0
March 2012,1260672.0,1070820544.0
June 2012,1478835.0,1049436134.0
September 2012,1750792.0,1032220096.0
December 2012,2334287.0,1034074367.0
