,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2008,60750000.0,70225000.0,
June 2008,60750000.0,70225000.0,
September 2008,60750000.0,70225000.0,
December 2008,60750000.0,70225000.0,
March 2009,48900000.0,33900000.0,
June 2009,47300000.0,-209400000.0,
September 2009,42900000.0,23200000.0,
December 2009,46800000.0,14600000.0,4656400000.0
March 2010,48400000.0,2000000.0,
June 2010,45500000.0,18400000.0,5654800000.0
September 2010,48700000.0,29700000.0,5674400000.0
December 2010,43700000.0,17300000.0,5760000000.0
March 2011,50300000.0,24200000.0,5820900000.0
June 2011,47500000.0,30000000.0,5876700000.0
September 2011,53500000.0,31900000.0,6015100000.0
December 2011,57800000.0,56100000.0,6121000000.0
March 2012,53900000.0,52900000.0,6130200000.0
June 2012,56000000.0,67800000.0,6197500000.0
September 2012,55800000.0,63200000.0,6419100000.0
December 2012,64600000.0,71300000.0,6669900000.0
March 2013,69000000.0,79100000.0,6723700000.0
June 2013,71500000.0,84000000.0,6900700000.0
September 2013,70600000.0,99600000.0,7258300000.0
December 2013,80200000.0,112800000.0,7313400000.0
March 2014,83600000.0,226400000.0,7580200000.0
June 2014,96400000.0,164200000.0,8014100000.0
September 2014,113000000.0,149400000.0,8544900000.0
December 2014,110600000.0,138200000.0,8733800000.0
March 2015,98300000.0,180200000.0,8722400000.0
June 2015,114400000.0,212000000.0,8632200000.0
September 2015,126600000.0,204300000.0,8805300000.0
December 2015,137100000.0,200000000.0,8885900000.0
March 2016,96500000.0,97200000.0,8909700000.0
June 2016,106700000.0,94600000.0,9035400000.0
September 2016,102300000.0,84200000.0,9135600000.0
December 2016,101900000.0,67600000.0,9125300000.0
March 2017,79200000.0,46000000.0,9143400000.0
June 2017,112800000.0,51100000.0,9452100000.0
September 2017,85800000.0,66900000.0,9564900000.0
December 2017,125200000.0,538500000.0,9543200000.0
March 2018,104900000.0,40200000.0,9477000000.0
June 2018,75600000.0,64100000.0,9354700000.0
September 2018,75600000.0,27700000.0,9405000000.0
December 2018,72000000.0,27300000.0,7989200000.0
March 2019,59600000.0,30600000.0,8413900000.0
June 2019,69800000.0,36400000.0,8575900000.0
September 2019,62100000.0,49000000.0,8643100000.0
December 2019,71300000.0,21600000.0,8701400000.0
March 2020,64300000.0,161700000.0,9002900000.0
June 2020,56800000.0,-206900000.0,8665400000.0
September 2020,51200000.0,25100000.0,8723200000.0
December 2020,47500000.0,-127200000.0,8701800000.0
March 2021,54400000.0,3300000.0,8775500000.0
June 2021,57700000.0,12700000.0,8617000000.0
September 2021,54300000.0,32000000.0,8495600000.0
December 2021,42900000.0,134000000.0,8235900000.0
March 2022,44700000.0,-700000.0,8291200000.0
June 2022,45000000.0,3700000.0,8624800000.0
