,OperatingExpenses,NetIncomeLoss,Assets
March 2009,15313383.5,-21667652.5,
June 2009,15313383.5,-21667652.5,
September 2009,15313383.5,-21667652.5,
December 2009,15313383.5,-21667652.5,
March 2010,13764904.0,-31589409.0,
June 2010,14937367.0,-18428019.0,
September 2010,17231624.0,30848206.0,
December 2010,23855203.0,49691557.0,926818164.0
March 2011,16580568.0,-8878357.0,
June 2011,14833997.0,-67207744.0,898727976.0
September 2011,18077761.0,-4214589.0,912084863.0
December 2011,13728256.0,-45196854.0,838789473.0
March 2012,14273187.0,-10595654.0,773601669.0
June 2012,16170820.0,8202787.0,746941678.0
September 2012,14236004.0,809675.0,725962779.0
December 2012,10274412.0,-40359011.0,660873332.0
March 2013,10106241.0,-1156755.0,625564843.0
June 2013,9083164.0,-28517171.0,562903876.0
September 2013,8056757.0,-17261245.0,503072451.0
December 2013,8565888.0,22572342.0,469547488.0
March 2014,5913666.0,-28147782.0,404005403.0
June 2014,6057772.0,5920590.0,356483452.0
September 2014,6658854.0,16699387.0,316456877.0
December 2014,9688771.0,18981655.0,312623935.0
March 2015,7226632.0,8793906.0,305705984.0
June 2015,3599953.0,-28585586.0,261779850.0
September 2015,3514854.0,-2613318.0,247964161.0
December 2015,3245874.0,-10938132.0,221473281.0
March 2016,3334145.0,9294494.0,215679784.0
June 2016,3061322.0,1356090.0,202970649.0
September 2016,2640671.0,-6064548.0,185956085.0
December 2016,2306676.0,-3922398.0,170589898.0
March 2017,2198557.0,-1557678.0,157192373.0
June 2017,1977057.0,-8977217.0,132856109.0
September 2017,1603374.0,-1105356.0,121735657.0
December 2017,1600869.0,6820723.0,116298655.0
March 2018,1388676.0,-6025851.0,101712616.0
June 2018,1229367.0,-149538.0,94399571.0
September 2018,1203671.0,-309194.0,88107426.0
December 2018,995823.0,-3090204.0,79748114.0
March 2019,1016749.0,1119691.0,77276377.0
June 2019,1134664.0,1109653.0,71754891.0
September 2019,1098019.0,2064034.0,69047683.0
December 2019,787647.0,-582521.0,64899930.0
March 2020,799156.0,-9773609.0,52532404.0
June 2020,655001.0,675841.0,47066221.0
September 2020,629567.0,-303112.0,45037292.0
December 2020,802394.0,3248167.0,46828683.0
March 2021,1064525.0,2544190.0,47434264.0
June 2021,928859.0,1331800.0,45933707.0
September 2021,766305.0,393294.0,44294460.0
December 2021,650979.0,-1397109.0,41240715.0
March 2022,1145817.0,2337942.0,42960264.0
June 2022,810567.0,428034.0,41763331.0
