,OperatingExpenses,Assets,AssetsCurrent
March 2010,144885.0,,
June 2010,143437.0,,
September 2010,140940.0,,
December 2010,144253.0,14290838.0,327898.0
March 2011,144205.0,,
June 2011,144488.0,14136444.0,
September 2011,141928.0,14060875.0,
December 2011,141726.0,13934404.0,346847.0
March 2012,175280.0,14248983.0,
June 2012,158855.0,13919917.0,
September 2012,152200.0,13784031.0,
December 2012,155224.0,13537169.0,
March 2013,155581.0,13473164.0,
June 2013,155330.0,13296243.0,
September 2013,152299.0,13218109.0,
December 2013,145018.0,13094002.0,
March 2014,158867.0,13026169.0,
June 2014,157726.0,12921493.0,
September 2014,144050.0,13465357.0,
December 2014,169389.0,13969896.0,2671184.0
March 2015,187102.0,13642694.0,
June 2015,154884.0,13710161.0,
September 2015,143484.0,13562692.0,2387335.0
December 2015,587771.0,12976398.0,2353770.0
March 2016,223612.0,13144326.0,808933.0
June 2016,180930.0,12947672.0,727162.0
September 2016,178131.0,12762491.0,656864.0
December 2016,168466.0,12594435.0,603691.0
March 2017,185323.0,12539527.0,
June 2017,179852.0,12356556.0,
September 2017,164867.0,12258392.0,
December 2017,186840.0,12105589.0,
March 2018,175501.0,12028302.0,
June 2018,228796.0,11914827.0,
September 2018,177404.0,11731324.0,
December 2018,999044.0,10775519.0,460280.0
March 2019,779811.0,10063700.0,
June 2019,538218.0,10008101.0,
September 2019,472006.0,9647961.0,674507.0
December 2019,150549.0,9546869.0,1331120.0
March 2020,163513.0,9436506.0,
June 2020,138601.0,9375543.0,1342003.0
September 2020,143598.0,9283724.0,1352048.0
December 2020,251393.0,9094380.0,1372974.0
March 2021,150544.0,9016258.0,1391219.0
June 2021,149736.0,8641899.0,1191058.0
September 2021,144169.0,8587856.0,1230241.0
December 2021,129370.0,8691029.0,2792528.0
March 2022,126627.0,6582574.0,758059.0
June 2022,94319.0,8588363.0,5987017.0
