,OperatingExpenses,NetIncomeLoss
June 2009,15541.0,-15541.0
September 2009,15541.0,-15541.0
December 2009,15541.0,-15541.0
March 2010,5697.0,-5697.0
June 2010,2267.0,-2267.0
September 2010,2168.0,-2168.0
December 2010,14438.0,-14438.0
March 2011,5943.0,-5943.0
June 2011,4267.0,-4267.0
September 2011,2789.0,-2789.0
December 2011,289.0,-289.0
March 2012,17276.0,-17276.0
June 2012,2171.0,-2171.0
