,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,4270000.0,,,
June 2009,4270000.0,,,
September 2009,4270000.0,,,
December 2009,4270000.0,,,
March 2010,4729000.0,,,
June 2010,4961000.0,,,
September 2010,4616000.0,,,
December 2010,4366000.0,496136000.0,235755000.0,41729000.0
March 2011,5187000.0,,,
June 2011,4874000.0,518172000.0,258145000.0,38880000.0
September 2011,5734000.0,650193000.0,388085000.0,32907000.0
December 2011,7147000.0,631492000.0,333181000.0,38259000.0
March 2012,5850000.0,626711000.0,323239000.0,22276000.0
June 2012,5425000.0,637206000.0,311535000.0,17441000.0
September 2012,5118000.0,802865000.0,433132000.0,23844000.0
December 2012,4489000.0,811828000.0,381301000.0,25305000.0
March 2013,5830000.0,822388000.0,328092000.0,24535000.0
June 2013,5706000.0,844300000.0,274541000.0,23951000.0
September 2013,5343000.0,926532000.0,263106000.0,23012000.0
December 2013,5328000.0,1005312000.0,276153000.0,20909000.0
March 2014,6038000.0,1002580000.0,222669000.0,19952000.0
June 2014,6087000.0,979044000.0,167278000.0,19191000.0
September 2014,5665000.0,1024339000.0,197781000.0,20515000.0
December 2014,6359000.0,973517000.0,154970000.0,19454000.0
March 2015,6778000.0,1020057000.0,203174000.0,23913000.0
June 2015,6796000.0,1002116000.0,191350000.0,23147000.0
September 2015,5912000.0,1002852000.0,169161000.0,47667000.0
December 2015,7094000.0,392052000.0,118325000.0,18886000.0
March 2016,7547000.0,316688000.0,99444000.0,19206000.0
June 2016,5378000.0,308743000.0,92009000.0,18966000.0
