,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,17157000.0,10560250.0,,
June 2009,17157000.0,10560250.0,,
September 2009,17157000.0,10560250.0,,
December 2009,17157000.0,10560250.0,,
March 2010,19926000.0,12277000.0,,
June 2010,22153000.0,13995000.0,,
September 2010,23093000.0,14973000.0,,
December 2010,25480000.0,15559000.0,315755000.0,289403000.0
March 2011,37310000.0,20310000.0,,
June 2011,38337000.0,23689000.0,377645000.0,174137000.0
September 2011,38376000.0,23367000.0,498266000.0,290517000.0
December 2011,40620000.0,25142000.0,530030000.0,318626000.0
March 2012,46620000.0,28958000.0,563234000.0,351361000.0
June 2012,59804000.0,37658000.0,632475000.0,418628000.0
September 2012,58892000.0,36229000.0,726125000.0,502586000.0
December 2012,58344000.0,35465000.0,771046000.0,540326000.0
March 2013,62048000.0,38149000.0,765082000.0,521089000.0
June 2013,65713000.0,38869000.0,768943000.0,525276000.0
September 2013,72485000.0,44607000.0,786925000.0,421612000.0
December 2013,76726000.0,47757000.0,806780000.0,450802000.0
March 2014,75831000.0,48337000.0,812000000.0,458838000.0
June 2014,77690000.0,49506000.0,815862000.0,467580000.0
September 2014,82268000.0,54220000.0,842222000.0,491047000.0
December 2014,86379000.0,56814000.0,863218000.0,516507000.0
March 2015,90377000.0,58118000.0,899218000.0,555060000.0
June 2015,96612000.0,62576000.0,962998000.0,612840000.0
September 2015,101621000.0,65861000.0,986569000.0,634513000.0
December 2015,105215000.0,65620000.0,1053382000.0,677238000.0
March 2016,130200000.0,71034000.0,1398459000.0,462130000.0
June 2016,128394000.0,82324000.0,1407591000.0,478927000.0
September 2016,131520000.0,83611000.0,1435044000.0,507472000.0
December 2016,134808000.0,85651000.0,1473505000.0,553078000.0
March 2017,136767000.0,88491000.0,1479055000.0,549780000.0
June 2017,142934000.0,92348000.0,1466663000.0,552502000.0
September 2017,141784000.0,90916000.0,1470740000.0,561608000.0
December 2017,159039000.0,94123000.0,1401934000.0,506919000.0
March 2018,150023000.0,86426000.0,1428366000.0,514640000.0
June 2018,148234000.0,87152000.0,1449769000.0,544802000.0
September 2018,144116000.0,92930000.0,1503777000.0,612699000.0
December 2018,145723000.0,93836000.0,1587198000.0,710438000.0
March 2019,152476000.0,92205000.0,1757773000.0,843257000.0
June 2019,158105000.0,99329000.0,1822108000.0,921484000.0
September 2019,168672000.0,107380000.0,1949945000.0,1049649000.0
December 2019,179278000.0,115961000.0,2119789000.0,1221230000.0
