,OperatingExpenses,NetIncomeLoss,Assets
March 2011,44842750.0,6671000.0,
June 2011,44842750.0,6671000.0,
September 2011,44842750.0,6671000.0,
December 2011,44842750.0,6671000.0,
March 2012,41743750.0,8665000.0,
June 2012,41743750.0,7618000.0,
September 2012,41743750.0,4530000.0,
December 2012,41743750.0,2106000.0,267075000.0
March 2013,35839000.0,3216000.0,0.0
June 2013,36982000.0,4699000.0,
September 2013,33968000.0,2681000.0,0.0
December 2013,74758000.0,9234000.0,2609239000.0
March 2014,83994000.0,44312000.0,2561886000.0
June 2014,83412000.0,47012000.0,2581677000.0
September 2014,80173000.0,49902000.0,2595437000.0
December 2014,84983000.0,30202000.0,2525454000.0
March 2015,83905000.0,47087000.0,2552477000.0
June 2015,86996000.0,31989000.0,2515974000.0
September 2015,82501000.0,33229000.0,2516115000.0
December 2015,64236000.0,29773000.0,2448155000.0
March 2016,81183000.0,32749000.0,2436229000.0
June 2016,86544000.0,73264000.0,7149062000.0
September 2016,89969000.0,89600000.0,7421320000.0
December 2016,89936000.0,93692000.0,7369330000.0
March 2017,92707000.0,93991000.0,7314399000.0
June 2017,90695000.0,96334000.0,7357220000.0
September 2017,91807000.0,97014000.0,7334808000.0
December 2017,90580000.0,93259000.0,7246882000.0
March 2018,92199000.0,96772000.0,7220447000.0
June 2018,100980000.0,91998000.0,7288560000.0
September 2018,89305000.0,93010000.0,8295898000.0
December 2018,179433000.0,45931000.0,8577293000.0
March 2019,117089000.0,93010000.0,8646832000.0
June 2019,118246000.0,93033000.0,8563864000.0
September 2019,99987000.0,96894000.0,8504752000.0
December 2019,100728000.0,114291000.0,8434298000.0
March 2020,97132000.0,96894000.0,8899161000.0
June 2020,81252000.0,112350000.0,8665425000.0
September 2020,106853000.0,127126000.0,8636983000.0
December 2020,58654000.0,169341000.0,9034368000.0
March 2021,101442000.0,127184000.0,9013490000.0
June 2021,105637000.0,138216000.0,9099319000.0
September 2021,,149059000.0,9284773000.0
December 2021,,119588000.0,10690449000.0
March 2022,,119268000.0,10720480000.0
June 2022,,151314000.0,10657734000.0
