,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,12886000.0,,17096750.0,,
June 2008,12886000.0,,17096750.0,,
September 2008,12886000.0,,17096750.0,,
December 2008,12886000.0,,17096750.0,,
March 2009,5266000.0,,37457000.0,,
June 2009,5266000.0,,77237000.0,,
September 2009,5266000.0,,46406000.0,,
December 2009,5266000.0,,28560000.0,338411000.0,315836000.0
March 2010,33474000.0,,26007000.0,,
June 2010,33474000.0,,50138000.0,271531000.0,241113000.0
September 2010,33474000.0,,40189000.0,257507000.0,235308000.0
December 2010,33474000.0,,-24460000.0,316666000.0,284663000.0
March 2011,4584500.0,,44545000.0,248704000.0,185392000.0
June 2011,4584500.0,,69986000.0,284261000.0,212431000.0
September 2011,4584500.0,,45916000.0,270525000.0,218196000.0
December 2011,4584500.0,,38942000.0,269471000.0,233513000.0
March 2012,6367250.0,,40184000.0,234963000.0,206200000.0
June 2012,6367250.0,,73502000.0,259829000.0,236820000.0
September 2012,6367250.0,,48575000.0,249896000.0,202876000.0
December 2012,6367250.0,,49408000.0,279966000.0,182985000.0
March 2013,7186000.0,,53471000.0,312810000.0,258707000.0
June 2013,7523000.0,,93742000.0,401424000.0,283957000.0
September 2013,7523000.0,,56225000.0,429672000.0,332954000.0
December 2013,7523000.0,,61092000.0,543955000.0,107697000.0
March 2014,16513000.0,0.0,72883000.0,852579000.0,355600000.0
June 2014,6133666.666666667,0.0,92055000.0,916405000.0,230047000.0
September 2014,6133666.666666667,0.0,102235000.0,979869000.0,341439000.0
December 2014,6133666.666666667,0.0,55071000.0,962350000.0,355897000.0
March 2015,7666000.0,0.0,55887000.0,1114133000.0,500667000.0
June 2015,7429000.0,0.0,78264000.0,995541000.0,367097000.0
September 2015,8450000.0,0.0,69459000.0,1020601000.0,306688000.0
December 2015,16524000.0,0.0,-10336000.0,1012205000.0,282710000.0
March 2016,9846000.0,0.0,7241000.0,1055375000.0,377178000.0
June 2016,9910000.0,0.0,4148000.0,1049191000.0,320705000.0
September 2016,20983000.0,1933000.0,13907000.0,1216066000.0,355056000.0
December 2016,74160000.0,1887000.0,-10336000.0,1215387000.0,398031000.0
March 2017,26935000.0,1766000.0,7241000.0,1237773000.0,544019000.0
June 2017,31055000.0,4281000.0,60439000.0,1301971000.0,536809000.0
September 2017,30128000.0,605000.0,20732000.0,1223838000.0,613230000.0
December 2017,38162000.0,729000.0,22336000.0,1243123000.0,640443000.0
March 2018,34226000.0,793000.0,1602000.0,1100401000.0,510944000.0
June 2018,171701000.0,684000.0,-112296000.0,945995000.0,508671000.0
September 2018,31157000.0,672000.0,25556000.0,984427000.0,507749000.0
December 2018,11620000.0,610000.0,16279000.0,963736000.0,517217000.0
March 2019,28443000.0,869000.0,6680000.0,923533000.0,477546000.0
June 2019,27388000.0,886000.0,-4419000.0,890461000.0,399703000.0
September 2019,34722000.0,4310000.0,-17784000.0,865145000.0,406889000.0
December 2019,64018000.0,1285000.0,-54888000.0,717206000.0,313895000.0
March 2020,,1856000.0,-31723000.0,659803000.0,551256000.0
June 2020,,1465000.0,-49971000.0,520656000.0,495548000.0
