,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2011,11640500.0,4802750.0,,
June 2011,11640500.0,4802750.0,,
September 2011,11640500.0,4802750.0,,
December 2011,11640500.0,4802750.0,,
March 2012,12383000.0,4813000.0,,
June 2012,12919000.0,5148000.0,,
September 2012,15831000.0,5158000.0,,
December 2012,12378000.0,5191000.0,50638000.0,46159000.0
March 2013,14499000.0,6066000.0,,
June 2013,14779000.0,6195000.0,55273000.0,47770000.0
September 2013,15207000.0,6409000.0,121690000.0,115950000.0
December 2013,15238000.0,6309000.0,122686000.0,116695000.0
March 2014,16764000.0,6775000.0,126049000.0,98242000.0
June 2014,16936000.0,7097000.0,129359000.0,100855000.0
September 2014,17063000.0,6647000.0,133691000.0,103445000.0
December 2014,16731000.0,6846000.0,142030000.0,119463000.0
March 2015,19983000.0,7995000.0,141377000.0,106625000.0
June 2015,20222000.0,8122000.0,142456000.0,106542000.0
September 2015,20900000.0,8191000.0,143462000.0,106319000.0
December 2015,21250000.0,8077000.0,141863000.0,112606000.0
March 2016,23827000.0,8479000.0,158425000.0,99771000.0
June 2016,25212000.0,9039000.0,158926000.0,103007000.0
September 2016,25449000.0,9190000.0,161757000.0,106770000.0
December 2016,24479000.0,9277000.0,165058000.0,112650000.0
March 2017,27008000.0,9844000.0,170286000.0,107279000.0
June 2017,27585000.0,10055000.0,183374000.0,123023000.0
September 2017,28148000.0,10347000.0,196507000.0,136924000.0
December 2017,27648000.0,10392000.0,214497000.0,145556000.0
March 2018,29768000.0,10940000.0,203147000.0,141297000.0
June 2018,29392000.0,10511000.0,214684000.0,157777000.0
September 2018,31577000.0,11144000.0,225676000.0,171017000.0
December 2018,30101000.0,11010000.0,252548000.0,175248000.0
March 2019,32276000.0,11817000.0,257357000.0,154697000.0
