,OperatingExpenses,Assets
March 2009,4015048.75,
June 2009,4015048.75,
September 2009,4015048.75,
December 2009,4015048.75,
March 2010,4667692.0,
June 2010,4875376.0,
September 2010,5060483.0,
December 2010,5617195.0,1039066953.0
March 2011,5613785.0,
June 2011,5693889.0,1026341711.0
September 2011,5627244.0,1025334278.0
December 2011,5176053.0,945378719.0
March 2012,4884843.0,854785947.0
June 2012,4399348.0,746855748.0
September 2012,3967116.0,677709962.0
December 2012,3363887.0,560565428.0
March 2013,2960629.0,498936193.0
June 2013,2606565.0,431713557.0
September 2013,2219985.0,364627789.0
December 2013,1968232.0,313554471.0
March 2014,1657890.0,262021124.0
June 2014,1394075.0,222951335.0
September 2014,1251768.0,217476377.0
December 2014,1241642.0,224130284.0
March 2015,1341563.0,224895534.0
June 2015,1320333.0,194079257.0
September 2015,1261473.0,184041141.0
December 2015,1137206.0,164079992.0
March 2016,1210461.0,160025150.0
June 2016,1037548.0,152109094.0
September 2016,1198101.0,136139161.0
December 2016,989667.0,117850930.0
March 2017,722476.0,101898396.0
June 2017,629222.0,86489987.0
September 2017,553979.0,77456195.0
December 2017,529238.0,73652863.0
March 2018,377351.0,63341612.0
