,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2007,594842750.0,569538750.0,,,
June 2007,594842750.0,569538750.0,,,
September 2007,594842750.0,569538750.0,,,
December 2007,594842750.0,569538750.0,,4774069000.0,
March 2008,627802000.0,605118000.0,,,
June 2008,636502000.0,614485000.0,,,
September 2008,638163000.0,616395000.0,,,
December 2008,569943000.0,523831000.0,,4786350000.0,3871420000.0
March 2009,587533000.0,565012000.0,,,
June 2009,578805000.0,556394000.0,,4854944000.0,3916015000.0
September 2009,594540000.0,571978000.0,,4977241000.0,4034291000.0
December 2009,577931000.0,526551000.0,,5327872000.0,4032828000.0
March 2010,598360000.0,576217000.0,,5168762000.0,4146231000.0
June 2010,621517000.0,598331000.0,,5219360000.0,4210497000.0
September 2010,640542000.0,618449000.0,,5413770000.0,4391301000.0
December 2010,606177000.0,573670000.0,,5788227000.0,4414887000.0
March 2011,656814000.0,634269000.0,,5569520000.0,4495229000.0
June 2011,674563000.0,651635000.0,,5717001000.0,4633291000.0
September 2011,701432000.0,679967000.0,,5784718000.0,4646313000.0
December 2011,663747000.0,628501000.0,,6202774000.0,4754710000.0
March 2012,690943000.0,667958000.0,,6095829000.0,4601546000.0
June 2012,704981000.0,680246000.0,,6184929000.0,4423375000.0
September 2012,704503000.0,678894000.0,,6445882000.0,4664575000.0
December 2012,654433000.0,621332000.0,,6807061000.0,4820131000.0
March 2013,699611000.0,673612000.0,171239750.0,7338462000.0,5351604000.0
June 2013,790380000.0,753527000.0,171239750.0,7660313000.0,5107741000.0
September 2013,829177000.0,793957000.0,171239750.0,7943903000.0,5295475000.0
December 2013,842516000.0,797940000.0,171239750.0,7680297000.0,5221491000.0
March 2014,840658000.0,803802000.0,177605500.0,7982374000.0,5346431000.0
June 2014,868988000.0,832205000.0,177605500.0,8251548000.0,5512361000.0
September 2014,885139000.0,850156000.0,190516000.0,8341457000.0,5585377000.0
December 2014,874750000.0,827867000.0,165559000.0,8246238000.0,5592525000.0
March 2015,861438000.0,825554000.0,161010000.0,8238355000.0,5634699000.0
June 2015,868213000.0,832610000.0,195373000.0,8413633000.0,5763520000.0
September 2015,868650000.0,834372000.0,188016000.0,8203128000.0,5623482000.0
December 2015,833137000.0,784854000.0,161273000.0,8144771000.0,5555316000.0
March 2016,857826000.0,823172000.0,158025000.0,8450527000.0,5770268000.0
June 2016,865400000.0,829489000.0,191369000.0,8634109000.0,5866142000.0
September 2016,907244000.0,869562000.0,185326000.0,8749372000.0,5908482000.0
December 2016,899365000.0,848610000.0,152520000.0,8859400000.0,5948431000.0
March 2017,911946000.0,873814000.0,160160000.0,9166826000.0,6194062000.0
June 2017,942575000.0,903343000.0,189972000.0,9412144000.0,6301416000.0
September 2017,975284000.0,931500000.0,158442000.0,9494234000.0,6316608000.0
December 2017,1056954000.0,996479000.0,108183000.0,12412381000.0,7312893000.0
March 2018,1194835000.0,1133771000.0,176576000.0,12759394000.0,7581612000.0
June 2018,1210334000.0,1148217000.0,226972000.0,12566522000.0,7523369000.0
September 2018,1185287000.0,1119266000.0,220227000.0,12657119000.0,7550495000.0
December 2018,1283616000.0,1214036000.0,186699000.0,12683040000.0,7575690000.0
March 2019,1263166000.0,1197220000.0,160250000.0,14070530000.0,7886391000.0
June 2019,1195493000.0,1127296000.0,224430000.0,14639472000.0,8184670000.0
September 2019,1340508000.0,1269893000.0,227487000.0,14513190000.0,8058671000.0
December 2019,1149605000.0,983201000.0,8918000.0,14645629000.0,7938616000.0
March 2020,1219452000.0,1142697000.0,136535000.0,14451355000.0,7993050000.0
June 2020,1581402000.0,971589000.0,-564372000.0,13263962000.0,7291328000.0
September 2020,1225854000.0,1140156000.0,227531000.0,13475461000.0,7375285000.0
December 2020,1213190000.0,1132297000.0,171204000.0,13440215000.0,7113763000.0
March 2021,1272369000.0,1195164000.0,217710000.0,13943543000.0,7678160000.0
June 2021,1428306000.0,1349309000.0,196496000.0,14085982000.0,7721594000.0
September 2021,1415173000.0,1338768000.0,228585000.0,13974938000.0,7782184000.0
December 2021,1355368000.0,1279265000.0,255999000.0,14352102000.0,7756422000.0
March 2022,1495842000.0,1403979000.0,245838000.0,16273311000.0,8427434000.0
June 2022,1452804000.0,1364015000.0,372529000.0,16238187000.0,8526268000.0
