,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2012,39235.0,,-39235.0,,,
September 2012,77920.0,,-79805.0,2920.0,,
December 2012,-15841.0,,14030.0,30004.0,30004.0,
March 2013,17370.0,,-19342.0,30011.0,,
June 2013,21594.0,,-23802.0,48053.0,,
September 2013,84833.0,,-87553.0,1004460.0,47920.0,
December 2013,2168689.0,,-2173816.0,10052183.0,1599551.0,8401363.0
March 2014,1283104.0,,-1285400.0,9681907.0,1182113.0,8434553.0
June 2014,1215743.0,,-2308932.0,8965101.0,1283285.0,7522257.0
September 2014,609179.0,,-1074312.0,,,
December 2014,4707746.0,,-5268916.0,86003.0,687844.0,7504715.0
March 2015,1019255.0,,-395458.0,8417599.0,552305.0,7545070.0
June 2015,740593.0,,-807801.0,9255107.0,1379895.0,7520095.0
September 2015,2338663.0,,-2485268.0,9223999.0,1411742.0,7482761.0
December 2015,1232321.0,,-1469645.0,8824656.0,860070.0,7654010.0
March 2016,1281623.0,174698.25,-683967.0,8409390.0,416735.0,7693929.0
June 2016,1461881.0,174698.25,-1560596.0,9221683.0,1207073.0,7722500.0
September 2016,765657.0,174698.25,-807656.0,8910513.0,940657.0,7696421.0
December 2016,790340.0,174698.25,-5265041.0,9019045.0,730493.0,8033791.0
March 2017,814184.0,195730.0,-511524.0,8959103.0,636302.0,8078849.0
June 2017,1061849.0,81531.0,-1625833.0,9400475.0,1119723.0,8055729.0
September 2017,1512758.0,229744.5,-1994955.0,8990258.0,785578.0,7998006.0
December 2017,1659458.0,229744.5,-6130103.0,4589858.0,484318.0,3928236.0
March 2018,736268.0,112881.0,-1280642.0,4556854.0,401349.0,3979305.0
June 2018,464924.0,80531.0,-859995.0,4403889.0,276432.0,3960677.0
September 2018,,,,,,
December 2018,,,,,,
March 2019,459169.0,199465.5,251276.75,,,
June 2019,459169.0,199465.5,251276.75,,,
September 2019,459169.0,199465.5,251276.75,,,
December 2019,459169.0,199465.5,251276.75,609586.0,212996.0,396591.0
March 2020,290650.0,90616.0,-397854.0,,,
June 2020,1170223.0,492117.0,-1206260.0,,,
September 2020,240579.0,89185.0,-253633.0,,,
December 2020,289483.0,91241.0,-323380.0,892502.0,331903.0,560599.0
March 2021,604835.0,265074.0,-613584.0,3060174.0,2518818.0,541356.0
June 2021,543158.0,249786.0,-485535.0,2534803.0,1941512.0,593291.0
September 2021,445888.0,229923.0,-454197.0,2070192.0,1437190.0,633002.0
December 2021,577987.0,358653.0,-585994.0,1838247.0,1209715.0,628532.0
March 2022,2033216.0,1230152.0,-2040957.0,1316489.0,703149.0,613340.0
June 2022,718086.0,436480.0,-725390.0,1281834.0,740853.0,540981.0
