,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2013,2600.0,,0.0,,,
March 2014,2600.0,,-5200.0,,,
June 2014,5515.0,3740.0,-5515.0,,,
September 2014,5233.0,0.0,-5233.0,,,
December 2014,10148.0,2073.0,-10148.0,,,
March 2015,17875.0,25.0,-17875.0,,,
June 2015,11350.0,50.0,-11350.0,,,
September 2015,14284.0,0.0,-14284.0,,,
December 2015,8945.0,6964.5,-8945.0,,,
March 2016,28488.0,6964.5,-28488.0,,,
June 2016,19542.0,13.0,-19542.0,,,
September 2016,16229.0,889.0,-16229.0,,,
December 2016,1889382.0,,-1885611.0,,,
