,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
September 2016,3562.0,-3562.0,,
December 2016,4500.0,-4500.0,,
March 2017,3800.0,-3800.0,,
June 2017,2000.0,-2000.0,,
September 2017,2750.0,-2750.0,,
December 2017,37300.0,-37300.0,,
March 2018,79247.0,-79247.0,228613.0,203475.0
June 2018,162967.0,-162967.0,289779.0,264643.0
September 2018,132580.0,-132740.0,346824.0,321688.0
December 2018,,-160320.0,385655.0,385655.0
March 2019,138693.0,-126308.0,867139.0,776761.0
June 2019,198629.0,-179777.0,1376080.0,1318914.0
September 2019,261286.0,-242435.0,1453246.0,1430104.0
December 2019,,-234311.0,1295380.0,1295380.0
March 2020,,-202745.0,1438472.0,1438472.0
June 2020,,-246646.0,1355867.0,1355867.0
September 2020,,-172134.0,1260989.0,1260989.0
