,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,11966358.0,,,
June 2009,11966358.0,,,
September 2009,11966358.0,,,
December 2009,11966358.0,,,
March 2010,11058601.0,,,
June 2010,11913997.0,,,
September 2010,12785043.0,,,
December 2010,12123464.0,,179733538.0,22990656.0
March 2011,10907228.0,,,
June 2011,11274007.0,,171352867.0,19103379.0
September 2011,11671842.0,,170787659.0,23741239.0
December 2011,6267202.0,,179599604.0,24862409.0
March 2012,11759972.0,,175642271.0,22944136.0
June 2012,15362510.0,,249073180.0,24732939.0
September 2012,12358945.0,,247619546.0,25158390.0
December 2012,15747567.0,,248119955.0,31945168.0
March 2013,13978711.0,,246470211.0,32619596.0
June 2013,12643311.0,,242585762.0,30244834.0
September 2013,13518287.0,,242540582.0,30947026.0
December 2013,12115691.0,,244523000.0,33980000.0
March 2014,13231000.0,,242277000.0,31544000.0
June 2014,13180000.0,,242372000.0,32128000.0
September 2014,13444000.0,,242744000.0,33249000.0
December 2014,13132000.0,,252301000.0,34262000.0
March 2015,12579000.0,5164750.0,251784000.0,30174000.0
June 2015,13317000.0,5164750.0,258004000.0,33158000.0
September 2015,14349000.0,5164750.0,265129000.0,32905000.0
December 2015,14534000.0,5164750.0,274846000.0,31787000.0
March 2016,13151000.0,4575000.0,276578000.0,28423000.0
June 2016,14536000.0,5695000.0,281167000.0,31605000.0
September 2016,14439000.0,7834000.0,284876000.0,31677000.0
December 2016,15604000.0,6470000.0,295165000.0,39411000.0
March 2017,14639000.0,4872000.0,299903000.0,35962000.0
June 2017,15080000.0,7239000.0,305051000.0,36998000.0
September 2017,16398000.0,9030000.0,322489000.0,42206000.0
December 2017,16602000.0,4397000.0,332087000.0,46031000.0
March 2018,15185000.0,6741000.0,343405000.0,42971000.0
June 2018,16152000.0,9239000.0,373246000.0,40074000.0
September 2018,16793000.0,10859000.0,425818000.0,49562000.0
December 2018,17672000.0,7259000.0,455127000.0,46681000.0
March 2019,16452000.0,7015000.0,496614000.0,37513000.0
June 2019,16506000.0,9279000.0,533181000.0,41079000.0
September 2019,17885000.0,9326000.0,565158000.0,45979000.0
December 2019,18469000.0,6196000.0,610878000.0,79155000.0
March 2020,17194000.0,2020000.0,594465000.0,55928000.0
June 2020,8870000.0,-4347000.0,597505000.0,56616000.0
September 2020,15856000.0,10745000.0,599146000.0,50266000.0
December 2020,18475000.0,15260000.0,671877000.0,73156000.0
March 2021,19925000.0,8154000.0,664974000.0,69538000.0
June 2021,20607000.0,18149000.0,666848000.0,75191000.0
September 2021,21690000.0,22314000.0,672428000.0,75776000.0
December 2021,22205000.0,19871000.0,690459000.0,84064000.0
March 2022,24183000.0,18118000.0,691104000.0,79004000.0
June 2022,23097000.0,19435000.0,693735000.0,80263000.0
