,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,-8154000.0,,,
June 2010,,-9405000.0,,,
September 2010,,-1377000.0,,,
December 2010,,-1047000.0,331711000.0,63810000.0,
March 2011,,-7662000.0,,,
June 2011,,-7042000.0,311746000.0,58144000.0,
September 2011,,2194000.0,305517000.0,57754000.0,
December 2011,,3793000.0,299586000.0,57487000.0,
March 2012,828000.0,-9408000.0,286619000.0,50971000.0,
June 2012,828000.0,-10582000.0,275091000.0,46973000.0,
September 2012,828000.0,-9830000.0,263169000.0,42098000.0,
December 2012,828000.0,-10023000.0,250423000.0,36056000.0,2301000.0
March 2013,1655750.0,-4635000.0,249024000.0,41252000.0,
June 2013,1655750.0,-4124000.0,239651000.0,38339000.0,
September 2013,1655750.0,-4461000.0,233470000.0,38540000.0,
December 2013,1655750.0,8848000.0,268408000.0,15561000.0,93000.0
March 2014,2281000.0,7349000.0,10383000.0,10295000.0,64000.0
June 2014,2491000.0,-2750000.0,8841000.0,8784000.0,57000.0
September 2014,4639000.0,3694000.0,8830000.0,8779000.0,51000.0
December 2014,688000.0,31573000.0,400325000.0,,
March 2015,2939000.0,4018000.0,409023000.0,,
June 2015,3376000.0,3788000.0,418128000.0,,
September 2015,3385000.0,2826000.0,440130000.0,,
December 2015,4004000.0,4693000.0,473876000.0,,
March 2016,4032000.0,3094000.0,505528000.0,,
June 2016,4251000.0,6743000.0,,,
September 2016,4130000.0,6243000.0,554114000.0,,
December 2016,26216000.0,7676000.0,540984000.0,,
March 2017,4278000.0,6197000.0,533465000.0,,
June 2017,4167000.0,7689000.0,554323000.0,,
September 2017,4302000.0,9279000.0,606508000.0,,
December 2017,26269000.0,-8196000.0,611003000.0,,
March 2018,5825000.0,11203000.0,643192000.0,,
June 2018,7280000.0,14869000.0,705049000.0,,
September 2018,13979000.0,12197000.0,771016000.0,,
December 2018,52955000.0,13354000.0,784026000.0,,
March 2019,23532000.0,12605000.0,793020000.0,,
June 2019,22494000.0,14460000.0,832961000.0,,
September 2019,25078000.0,15671000.0,865789000.0,,
December 2019,26671000.0,15920000.0,875539000.0,,
March 2020,26869000.0,15917000.0,975180000.0,,
June 2020,25672000.0,33647000.0,910248000.0,,
September 2020,29177000.0,34819000.0,944582000.0,,
December 2020,30416000.0,29310000.0,988847000.0,,
March 2021,29488000.0,25969000.0,1079916000.0,,
June 2021,33985000.0,52263000.0,1287136000.0,,
September 2021,33709000.0,48507000.0,1347316000.0,,
December 2021,37087000.0,63471000.0,1421867000.0,,
March 2022,34265000.0,61577000.0,1528657000.0,,
June 2022,41798000.0,101256000.0,1588274000.0,,
