,OperatingExpenses,NetIncomeLoss,Assets
December 2007,299083750.0,200979250.0,
March 2008,299083750.0,200979250.0,
June 2008,299083750.0,200979250.0,
September 2008,299083750.0,200979250.0,
December 2008,293762500.0,158214000.0,
March 2009,293762500.0,158214000.0,
June 2009,323654000.0,170537000.0,
September 2009,395269000.0,156740000.0,18371810000.0
December 2009,384218000.0,136237000.0,
March 2010,407969000.0,162552000.0,
June 2010,391543000.0,179439000.0,13932238000.0
September 2010,411270000.0,113959000.0,14726918000.0
December 2010,422103000.0,145039000.0,15032642000.0
March 2011,435312000.0,172000000.0,15757196000.0
June 2011,422243000.0,157395000.0,15690604000.0
September 2011,435342000.0,164000000.0,17126000000.0
December 2011,425000000.0,152000000.0,20080452000.0
March 2012,454020000.0,137000000.0,21078639000.0
June 2012,413000000.0,154000000.0,18913885000.0
September 2012,414980000.0,143000000.0,19513000000.0
December 2012,410000000.0,147000000.0,21018000000.0
March 2013,442000000.0,144000000.0,20520000000.0
June 2013,427000000.0,184000000.0,21183000000.0
September 2013,429000000.0,200000000.0,21836000000.0
December 2013,445000000.0,192000000.0,22236000000.0
March 2014,489000000.0,194000000.0,23087000000.0
June 2014,447000000.0,190000000.0,23579000000.0
September 2014,457000000.0,211000000.0,23831000000.0
December 2014,475000000.0,211000000.0,23815000000.0
March 2015,507000000.0,189000000.0,24096000000.0
June 2015,469000000.0,197000000.0,25159000000.0
September 2015,471000000.0,216000000.0,26375000000.0
December 2015,469000000.0,212000000.0,25766000000.0
March 2016,503000000.0,205000000.0,27154000000.0
June 2016,490000000.0,240000000.0,27107000000.0
September 2016,547000000.0,185000000.0,28818000000.0
December 2016,506000000.0,216000000.0,28834000000.0
March 2017,546000000.0,214000000.0,29165000000.0
June 2017,537000000.0,231000000.0,30110000000.0
September 2017,621000000.0,211000000.0,38627000000.0
December 2017,921000000.0,297000000.0,39412000000.0
March 2018,1019000000.0,271000000.0,38410000000.0
June 2018,751000000.0,451000000.0,37511000000.0
September 2018,763000000.0,454000000.0,37520000000.0
December 2018,720000000.0,604000000.0,37191000000.0
March 2019,746000000.0,499000000.0,38679000000.0
June 2019,771000000.0,555000000.0,41119000000.0
September 2019,778000000.0,551000000.0,43786000000.0
December 2019,770000000.0,379000000.0,43481000000.0
March 2020,849000000.0,446000000.0,51005000000.0
June 2020,808000000.0,569000000.0,54394000000.0
