,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2008,249904000.0,,,
June 2008,249904000.0,,,
September 2008,249904000.0,,,
December 2008,249904000.0,,,
March 2009,119401000.0,,,
June 2009,-268472000.0,,,
September 2009,-74560500.0,,,
December 2009,-74560500.0,4340256000.0,409460000.0,3930796000.0
March 2010,65310000.0,,,
June 2010,59786000.0,5474174000.0,693656000.0,4780518000.0
September 2010,4143000.0,,,
December 2010,-243527000.0,5933148000.0,710909000.0,5222239000.0
March 2011,-446682000.0,6067160000.0,602532000.0,5464628000.0
June 2011,237109000.0,6682815000.0,531947000.0,6150868000.0
September 2011,837627000.0,7334229000.0,636130000.0,6698099000.0
December 2011,-189615000.0,8000137000.0,621476000.0,7378661000.0
March 2012,-6202000.0,9577092000.0,742275000.0,8834817000.0
June 2012,237086000.0,11180102000.0,882309000.0,10297793000.0
September 2012,-430005000.0,11584195000.0,836374000.0,10747821000.0
December 2012,-187495000.0,11451238000.0,811428000.0,10639810000.0
March 2013,-221885000.0,11219825000.0,799481000.0,10420344000.0
June 2013,345157000.0,11430994000.0,691380000.0,10739614000.0
September 2013,-30060000.0,11572758000.0,649306000.0,10923452000.0
December 2013,-784549000.0,16504964000.0,815940000.0,15689024000.0
March 2014,-85337000.0,16474688000.0,798505000.0,15676183000.0
June 2014,-207870000.0,16268664000.0,787421000.0,15481243000.0
September 2014,-4100000.0,18926994000.0,2949590000.0,15977404000.0
December 2014,-154502000.0,16423509000.0,1706590000.0,14716919000.0
March 2015,-339160000.0,15920175000.0,1656451000.0,14263724000.0
June 2015,-379127000.0,15512026000.0,1458320000.0,14053706000.0
September 2015,-1569317000.0,13578469000.0,1860348000.0,11718121000.0
December 2015,-2472207000.0,9976946000.0,1558875000.0,8393712000.0
March 2016,-1347746000.0,9439497000.0,2443743000.0,6995754000.0
June 2016,208492000.0,7477174000.0,1086321000.0,6390853000.0
September 2016,-198365000.0,7402948000.0,1136154000.0,6266794000.0
December 2016,-834237000.0,4660591000.0,1000534000.0,3660057000.0
March 2017,16310000.0,,,
June 2017,1817000.0,,,
September 2017,10710000.0,,,
December 2017,-10380000.0,1885592000.0,82095000.0,2023322000.0
March 2018,35081000.0,2486810000.0,599978000.0,1886832000.0
June 2018,-22757000.0,2357925000.0,460053000.0,1897872000.0
September 2018,-301240000.0,2486526000.0,232839000.0,
December 2018,148245000.0,2749109000.0,323315000.0,
March 2019,-58056000.0,2791436000.0,255336000.0,
June 2019,27246000.0,2870674000.0,267841000.0,
September 2019,19295000.0,2922035000.0,251892000.0,
