,NetIncomeLoss,Assets
March 2016,19012750.0,
June 2016,19012750.0,
September 2016,19012750.0,
December 2016,19012750.0,
March 2017,22886000.0,
June 2017,22949000.0,
September 2017,21252000.0,
December 2017,21417000.0,1839402000.0
March 2018,-4714000.0,8120905000.0
June 2018,16008000.0,8153941000.0
September 2018,-52703000.0,8648301000.0
December 2018,-127089000.0,8660730000.0
March 2019,14908000.0,8704788000.0
June 2019,-107341000.0,9040478000.0
September 2019,-356031000.0,7443857000.0
December 2019,33952000.0,7414306000.0
March 2020,-78772000.0,7193588000.0
June 2020,-227059000.0,6850267000.0
September 2020,5007000.0,6511657000.0
December 2020,-52475000.0,6211937000.0
March 2021,-92314000.0,6181350000.0
June 2021,-19720000.0,5441783000.0
September 2021,-70057000.0,5478555000.0
December 2021,81045000.0,5638369000.0
March 2022,27724000.0,5800613000.0
June 2022,34287000.0,5840092000.0
