,OperatingExpenses,Assets,AssetsCurrent
March 2009,25543500.0,,
June 2009,25543500.0,,
September 2009,25543500.0,,
December 2009,25543500.0,,
March 2010,23333000.0,,
June 2010,23489000.0,103027000.0,60380000.0
September 2010,23992000.0,98228000.0,54233000.0
December 2010,35140000.0,85990000.0,51755000.0
March 2011,23181000.0,86125000.0,52930000.0
June 2011,23355000.0,82926000.0,52932000.0
September 2011,22802000.0,84371000.0,54238000.0
December 2011,24833000.0,84645000.0,56729000.0
March 2012,24220000.0,83069000.0,53874000.0
June 2012,24706000.0,81070000.0,51762000.0
September 2012,22770000.0,76128000.0,44796000.0
December 2012,25651000.0,74625000.0,44227000.0
March 2013,24682000.0,57128000.0,36575000.0
June 2013,24022000.0,59132000.0,38461000.0
September 2013,23769000.0,52990000.0,31625000.0
December 2013,25024000.0,53239000.0,33532000.0
March 2014,23594000.0,52405000.0,31850000.0
June 2014,24734000.0,51075000.0,30046000.0
September 2014,23967000.0,53740000.0,33212000.0
