,NetIncomeLoss,Assets
March 2008,32960250.0,
June 2008,32960250.0,
September 2008,32960250.0,
December 2008,32960250.0,
March 2009,30085000.0,
June 2009,32560000.0,
September 2009,33152000.0,
December 2009,35330000.0,2914787000.0
March 2010,30205000.0,
June 2010,31048000.0,3143155000.0
September 2010,31654000.0,3285534000.0
December 2010,37877000.0,3535590000.0
March 2011,35999000.0,3770556000.0
June 2011,39248000.0,3991053000.0
September 2011,40780000.0,4274774000.0
December 2011,41005000.0,4419389000.0
March 2012,39263000.0,4398433000.0
June 2012,43407000.0,4576559000.0
September 2012,37458000.0,5036326000.0
December 2012,39024000.0,5429348000.0
March 2013,71804000.0,8763603000.0
June 2013,56439000.0,9415533000.0
September 2013,51571000.0,9880927000.0
December 2013,65750000.0,9924441000.0
March 2014,57661000.0,10480781000.0
June 2014,61902000.0,10812402000.0
September 2014,73283000.0,10939840000.0
December 2014,77789000.0,11012622000.0
March 2015,67264000.0,11092153000.0
June 2015,66087000.0,11728314000.0
September 2015,67475000.0,11738569000.0
December 2015,82940000.0,11845379000.0
March 2016,70243000.0,12037103000.0
June 2016,75815000.0,12249431000.0
September 2016,77072000.0,12536453000.0
December 2016,92441000.0,13152871000.0
March 2017,88870000.0,13422186000.0
June 2017,81136000.0,13574116000.0
September 2017,87940000.0,13701419000.0
December 2017,60852000.0,14058166000.0
March 2018,83163000.0,14474093000.0
June 2018,96380000.0,14674074000.0
September 2018,98999000.0,15095325000.0
December 2018,85072000.0,15260483000.0
March 2019,110942000.0,15762908000.0
June 2019,95194000.0,16748630000.0
September 2019,101049000.0,17179904000.0
December 2019,129297000.0,18554796000.0
March 2020,146827000.0,18796442000.0
June 2020,107824000.0,19102547000.0
September 2020,22904000.0,19785370000.0
December 2020,117931000.0,20740285000.0
March 2021,95940000.0,20979570000.0
June 2021,124479000.0,21984941000.0
September 2021,134996000.0,23711094000.0
December 2021,4041000.0,43137502000.0
March 2022,199369000.0,44062017000.0
June 2022,223207000.0,44951918000.0
