,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2008,86998500.0,38626000.0,2933250.0,,
March 2009,86998500.0,38626000.0,2933250.0,,
June 2009,86998500.0,38626000.0,2933250.0,,
September 2009,86998500.0,38626000.0,2933250.0,,
December 2009,92106500.0,41846500.0,7663000.0,,
March 2010,92106500.0,41846500.0,7663000.0,,
June 2010,97668000.0,43956000.0,6286000.0,,
September 2010,107490000.0,49145000.0,7216000.0,242499000.0,115431000.0
December 2010,100594000.0,46758000.0,10256000.0,,
March 2011,102771000.0,45079000.0,6995000.0,,
June 2011,102228000.0,44238000.0,4036000.0,249613000.0,111367000.0
September 2011,101202000.0,47251000.0,5610000.0,265587000.0,133473000.0
December 2011,99861000.0,48170000.0,4040000.0,264256000.0,134686000.0
March 2012,103225000.0,49803000.0,1932000.0,267500000.0,132898000.0
June 2012,98083000.0,45462000.0,1013000.0,257655000.0,125061000.0
September 2012,98268000.0,44023000.0,1608000.0,268158000.0,134984000.0
December 2012,92435000.0,42743000.0,3576000.0,251141000.0,115428000.0
March 2013,97014000.0,46558000.0,-920000.0,257095000.0,113582000.0
June 2013,90496000.0,41356000.0,337000.0,259671000.0,105692000.0
September 2013,94394000.0,44142000.0,872000.0,279463000.0,134079000.0
December 2013,94026000.0,42915000.0,1660000.0,284875000.0,131367000.0
March 2014,96323000.0,45546000.0,-1505000.0,285212000.0,127816000.0
June 2014,90243000.0,41561000.0,366000.0,274670000.0,107347000.0
September 2014,91464000.0,41980000.0,1584000.0,288069000.0,127532000.0
December 2014,90080000.0,42250000.0,3094000.0,286201000.0,130606000.0
March 2015,88833000.0,40690000.0,555000.0,271868000.0,104680000.0
June 2015,89102000.0,41412000.0,-2975000.0,263230000.0,94240000.0
September 2015,103882000.0,40772000.0,-9823000.0,274302000.0,108057000.0
December 2015,91966000.0,42314000.0,-1680000.0,265199000.0,103355000.0
March 2016,93962000.0,44192000.0,-32002000.0,229862000.0,87725000.0
June 2016,87716000.0,40672000.0,-5069000.0,285033000.0,145674000.0
September 2016,92125000.0,44196000.0,-8945000.0,297159000.0,161949000.0
December 2016,82792000.0,35638000.0,-1724000.0,282173000.0,149595000.0
March 2017,81810000.0,36976000.0,-1730000.0,274653000.0,142989000.0
June 2017,79042000.0,34922000.0,-3917000.0,256772000.0,127572000.0
September 2017,82443000.0,37524000.0,-757000.0,274102000.0,146826000.0
December 2017,84760000.0,40679000.0,-1135000.0,302898000.0,141287000.0
March 2018,89483000.0,43666000.0,-8833000.0,297187000.0,133908000.0
June 2018,86690000.0,41953000.0,-11713000.0,273992000.0,108497000.0
September 2018,91307000.0,43353000.0,-11001000.0,282278000.0,116795000.0
December 2018,90255000.0,44520000.0,-7717000.0,271163000.0,108314000.0
March 2019,87326000.0,41504000.0,-5263000.0,260337000.0,101133000.0
June 2019,79497000.0,36661000.0,-365000.0,244091000.0,89804000.0
September 2019,82228000.0,38304000.0,5477000.0,270526000.0,118104000.0
December 2019,82980000.0,40104000.0,4684000.0,382061000.0,116601000.0
March 2020,83216000.0,40307000.0,10142000.0,433127000.0,175259000.0
June 2020,68262000.0,35786000.0,-13268000.0,421583000.0,170200000.0
September 2020,70174000.0,32503000.0,6450000.0,441981000.0,180179000.0
December 2020,75350000.0,36019000.0,1083000.0,434587000.0,130561000.0
March 2021,79370000.0,38890000.0,-1547000.0,440345000.0,131093000.0
June 2021,80716000.0,38478000.0,3000000.0,475010000.0,161886000.0
September 2021,84700000.0,39931000.0,12045000.0,512570000.0,183392000.0
December 2021,91497000.0,43596000.0,14822000.0,533538000.0,147284000.0
March 2022,98709000.0,49500000.0,7354000.0,517353000.0,109472000.0
June 2022,99012000.0,45796000.0,843000.0,540282000.0,121939000.0
