,NetIncomeLoss,Assets
March 2009,1469250.0,
June 2009,1469250.0,
September 2009,1469250.0,
December 2009,1469250.0,
March 2010,1540000.0,
June 2010,1661000.0,
September 2010,1686000.0,
December 2010,1417000.0,614299000.0
March 2011,1610000.0,
June 2011,1840000.0,599546000.0
September 2011,1628000.0,625789000.0
December 2011,1698000.0,624677000.0
March 2012,1818000.0,631223000.0
June 2012,1879000.0,613819000.0
September 2012,1764000.0,644093000.0
December 2012,1692000.0,607721000.0
March 2013,1697000.0,616529000.0
June 2013,1474000.0,625279000.0
September 2013,1680000.0,633031000.0
December 2013,1967000.0,624010000.0
