,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,55251000.0,,139711000.0,
June 2010,196151000.0,,-33923000.0,
September 2010,119782000.0,,-31266000.0,
December 2010,202362000.0,,-99347000.0,5005758000.0
March 2011,89288000.0,8987000.0,762000.0,
June 2011,174039000.0,9645000.0,9682000.0,4759120000.0
September 2011,63130000.0,8413000.0,23815000.0,4655260000.0
December 2011,105652000.0,,33625000.0,4673298000.0
March 2012,116280000.0,10625000.0,-5399000.0,4356935000.0
June 2012,102025000.0,12267000.0,-1942000.0,4300572000.0
September 2012,158789000.0,6989000.0,-5763000.0,4296279000.0
