,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2013,1784250000.0,3183250000.0,,,
June 2013,1784250000.0,3183250000.0,,,
September 2013,1784250000.0,3183250000.0,,,
December 2013,1784250000.0,3183250000.0,,,
March 2014,2182000000.0,3361000000.0,,,
June 2014,2182000000.0,3361000000.0,,,
September 2014,2655000000.0,2739000000.0,,,
December 2014,2813000000.0,4675000000.0,130426000000.0,79978000000.0,50531000000.0
March 2015,2753000000.0,3515000000.0,,,
June 2015,2789000000.0,3931000000.0,,,
September 2015,3230000000.0,3979000000.0,144281000000.0,88103000000.0,56178000000.0
December 2015,3510000000.0,4923000000.0,147461000000.0,90114000000.0,57347000000.0
March 2016,3367000000.0,4207000000.0,149747000000.0,90955000000.0,58792000000.0
June 2016,3363000000.0,4877000000.0,154292000000.0,94238000000.0,60054000000.0
September 2016,3596000000.0,5061000000.0,159948000000.0,98546000000.0,61402000000.0
December 2016,3622000000.0,5333000000.0,167497000000.0,105408000000.0,62089000000.0
March 2017,3942000000.0,5426000000.0,172756000000.0,108794000000.0,63962000000.0
June 2017,4172000000.0,3524000000.0,178621000000.0,112386000000.0,66235000000.0
September 2017,4205000000.0,6732000000.0,189536000000.0,119345000000.0,70191000000.0
December 2017,4306000000.0,-3020000000.0,197295000000.0,124308000000.0,72987000000.0
March 2018,5039000000.0,9401000000.0,206935000000.0,123761000000.0,83174000000.0
June 2018,5114000000.0,3195000000.0,211610000000.0,124157000000.0,87453000000.0
September 2018,5232000000.0,9192000000.0,221538000000.0,129702000000.0,91836000000.0
December 2018,6034000000.0,8948000000.0,232792000000.0,135676000000.0,97116000000.0
March 2019,6029000000.0,6657000000.0,245349000000.0,138207000000.0,107142000000.0
June 2019,6213000000.0,9947000000.0,257101000000.0,147437000000.0,109664000000.0
September 2019,6554000000.0,7068000000.0,263044000000.0,148358000000.0,114686000000.0
December 2019,7222000000.0,10671000000.0,275909000000.0,152578000000.0,123331000000.0
March 2020,6820000000.0,6836000000.0,273403000000.0,147018000000.0,126385000000.0
June 2020,6875000000.0,6959000000.0,278492000000.0,149069000000.0,129423000000.0
September 2020,6856000000.0,11247000000.0,299243000000.0,164369000000.0,134874000000.0
December 2020,7022000000.0,15227000000.0,319616000000.0,174296000000.0,
March 2021,7485000000.0,17930000000.0,327095000000.0,172137000000.0,
June 2021,7675000000.0,18525000000.0,335387000000.0,175697000000.0,
September 2021,7694000000.0,18936000000.0,347403000000.0,184110000000.0,
December 2021,8708000000.0,20642000000.0,359268000000.0,188143000000.0,
March 2022,9119000000.0,16436000000.0,357096000000.0,177853000000.0,
June 2022,9841000000.0,16002000000.0,355185000000.0,172371000000.0,
