,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2019,,-4254.5,,,
September 2019,,-4254.5,,,
December 2019,,-4851.0,,,
March 2020,,-669106.0,,,
June 2020,18765.5,-112532.0,3485277.0,3262890.0,222387.0
September 2020,18765.5,-26929.0,,,
December 2020,18765.5,-34131.0,,,
March 2021,18765.5,-1712650.0,1970315.0,1774943.0,195372.0
June 2021,,-83283.0,783731.0,671584.0,112147.0
September 2021,,353313.0,870682.0,760364.0,110318.0
December 2021,,153911.0,562924.0,435536.0,127388.0
