,OperatingExpenses,Assets
March 2010,3019537.0,
June 2010,3536920.0,
September 2010,4685095.0,
December 2010,5688986.0,339886818.0
March 2011,5054574.0,
June 2011,5412577.0,387982917.0
September 2011,5431758.0,389099868.0
December 2011,4427667.0,320611967.0
March 2012,4192176.0,306630429.0
June 2012,3242478.0,274897780.0
September 2012,3623547.0,251759712.0
December 2012,3517779.0,208181945.0
March 2013,1425094.0,178576754.0
June 2013,1120299.0,114228198.0
September 2013,852343.0,103796650.0
December 2013,836262.0,102664597.0
March 2014,732479.0,89702258.0
June 2014,729902.0,87372365.0
September 2014,719911.0,91603439.0
December 2014,2747435.0,90976017.0
March 2015,2369716.0,95656265.0
June 2015,814317.0,91041907.0
September 2015,783653.0,91880322.0
December 2015,773918.0,88870033.0
March 2016,711630.0,81919605.0
June 2016,715899.0,81141437.0
September 2016,682423.0,74782230.0
December 2016,691963.0,74111369.0
March 2017,635381.0,70099137.0
June 2017,553363.0,62101996.0
September 2017,410476.0,59137664.0
December 2017,310700.0,42498308.0
March 2018,285203.0,40756451.0
June 2018,275269.0,38970118.0
September 2018,291330.0,37179849.0
December 2018,297428.0,31652075.0
March 2019,215150.0,29250738.0
June 2019,215332.0,27950057.0
September 2019,254737.0,29076020.0
December 2019,210283.0,27027270.0
March 2020,258157.0,27736846.0
June 2020,202722.0,27552601.0
September 2020,463236.0,28666205.0
December 2020,434140.0,29427905.0
March 2021,543165.0,30094961.0
June 2021,321621.0,29134311.0
September 2021,234014.0,27254103.0
December 2021,194378.0,25851290.0
March 2022,803718.0,28396149.0
June 2022,833120.0,29882279.0
