,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2013,45141500.0,725250.0,,
June 2013,45141500.0,725250.0,,
September 2013,45141500.0,725250.0,,
December 2013,45141500.0,725250.0,,
March 2014,46991000.0,4023000.0,,
June 2014,46991000.0,2515000.0,,
September 2014,45997000.0,-215000.0,,
December 2014,50164000.0,2192000.0,150908000.0,18860000.0
March 2015,50808000.0,4771000.0,,
June 2015,51993000.0,740000.0,,
September 2015,51600000.0,-2477000.0,150070000.0,17688000.0
December 2015,55113000.0,2321000.0,155836000.0,18979000.0
March 2016,53707000.0,2290000.0,151405000.0,15496000.0
June 2016,52099000.0,1087000.0,150086000.0,12322000.0
September 2016,50153000.0,945000.0,155045000.0,13361000.0
December 2016,53529000.0,2721000.0,163038000.0,14373000.0
March 2017,56028000.0,2684000.0,164526000.0,15236000.0
June 2017,58001000.0,186000.0,164207000.0,15744000.0
September 2017,55271000.0,-876000.0,163475000.0,14572000.0
December 2017,,5340000.0,169651000.0,18730000.0
March 2018,,1593000.0,169126000.0,16312000.0
June 2018,,2105000.0,169166000.0,14822000.0
September 2018,,-633000.0,169583000.0,12057000.0
December 2018,,934000.0,174549000.0,17465000.0
March 2019,,3848000.0,243859000.0,14082000.0
June 2019,,2168000.0,245806000.0,16955000.0
September 2019,,771000.0,244663000.0,14400000.0
December 2019,,2030000.0,247912000.0,18092000.0
March 2020,,-17644000.0,247525000.0,30653000.0
June 2020,,-6988000.0,243408000.0,26591000.0
September 2020,,-1760000.0,239438000.0,22632000.0
December 2020,,3921000.0,237119000.0,25762000.0
March 2021,,3390000.0,241224000.0,29818000.0
June 2021,,2253000.0,247869000.0,37285000.0
