,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2018,2584750.0,,,
June 2018,2584750.0,,,
September 2018,2584750.0,,,
December 2018,2584750.0,,,
March 2019,1760500.0,,,
June 2019,1760500.0,,,
September 2019,1760500.0,,,
December 2019,1760500.0,,105397000.0,67488000.0
March 2020,1843000.0,0.0,,
June 2020,1873000.0,0.0,,
September 2020,1766000.0,0.0,,
December 2020,6967000.0,-4366000.0,210337000.0,127799000.0
March 2021,3320000.0,285000.0,241691000.0,100372000.0
June 2021,3835000.0,-197000.0,236403000.0,94742000.0
September 2021,3754000.0,-3527000.0,245507000.0,104565000.0
December 2021,4286000.0,-1836000.0,289804000.0,137106000.0
March 2022,5216000.0,-7076000.0,275221000.0,124271000.0
June 2022,5661000.0,-9139000.0,285878000.0,80409000.0
