,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
June 2009,14186500.0,4941000.0,9245500.0,,
September 2009,14186500.0,4941000.0,9245500.0,,
December 2009,14186500.0,4941000.0,9245500.0,,
March 2010,14186500.0,4941000.0,9245500.0,,
June 2010,14823000.0,5010000.0,9813000.0,,
September 2010,16222000.0,5225000.0,10997000.0,,
December 2010,17342000.0,6568000.0,10774000.0,,
March 2011,16371000.0,5816000.0,10555000.0,336574000.0,302034000.0
June 2011,15335000.0,6077000.0,9258000.0,346675000.0,319475000.0
September 2011,14916000.0,6537000.0,8379000.0,331308000.0,304029000.0
December 2011,15204000.0,6113000.0,9091000.0,329472000.0,304269000.0
March 2012,15713000.0,6817000.0,8896000.0,324865000.0,297449000.0
June 2012,15113000.0,7115000.0,7998000.0,304411000.0,279492000.0
September 2012,11400000.0,6505000.0,4895000.0,292629000.0,266141000.0
December 2012,13522000.0,5242000.0,8280000.0,292772000.0,267470000.0
March 2013,13116000.0,4756000.0,8360000.0,281449000.0,254969000.0
June 2013,11823000.0,4414000.0,7409000.0,273684000.0,247629000.0
September 2013,12085000.0,5172000.0,6913000.0,279073000.0,254292000.0
December 2013,14535000.0,6139000.0,8396000.0,274522000.0,251466000.0
March 2014,15451000.0,6364000.0,9087000.0,265511000.0,245372000.0
June 2014,14197000.0,6006000.0,8191000.0,257203000.0,238097000.0
September 2014,15536000.0,6418000.0,9118000.0,244153000.0,225260000.0
December 2014,13295000.0,5668000.0,7627000.0,222792000.0,205403000.0
March 2015,13069000.0,5298000.0,7771000.0,193108000.0,177703000.0
June 2015,15159000.0,6889000.0,8270000.0,181103000.0,166750000.0
September 2015,11523000.0,4751000.0,6772000.0,180173000.0,166572000.0
December 2015,12269000.0,4576000.0,7693000.0,178057000.0,163800000.0
March 2016,12609000.0,5506000.0,7103000.0,171229000.0,155911000.0
June 2016,13148000.0,5095000.0,8053000.0,168537000.0,152528000.0
