,NetIncomeLoss,AssetsCurrent
June 2012,-2786.0,23680.0
September 2012,-9859.0,
December 2012,-6104.0,
March 2013,-7191.0,
June 2013,-3924.0,2560.0
September 2013,-766.0,636.0
December 2013,-762.0,170.0
