,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,1909064000.0,145263000.0,242693000.0
June 2011,1930983000.0,143750000.0,247478000.0
September 2011,1964387000.0,167660000.0,245167000.0
December 2011,2021835000.0,173248000.0,284935000.0
March 2012,2026459000.0,156674000.0,284570000.0
June 2012,2049552000.0,163092000.0,282460000.0
September 2012,2066555000.0,157172000.0,276916000.0
December 2012,2126369000.0,173286000.0,295451000.0
March 2013,2135773000.0,164906000.0,293310000.0
June 2013,2168637000.0,179245000.0,289232000.0
September 2013,2195808000.0,181017000.0,285106000.0
December 2013,2145045000.0,171256000.0,221855000.0
March 2014,2168471000.0,164387000.0,216195000.0
June 2014,2207781000.0,178762000.0,212826000.0
September 2014,2255326000.0,186509000.0,207231000.0
December 2014,2390256000.0,219807000.0,260177000.0
March 2015,2407579000.0,204856000.0,256808000.0
June 2015,2434745000.0,196224000.0,
September 2015,2462843000.0,200798000.0,
December 2015,2446645000.0,173746000.0,
March 2016,2450926000.0,161872000.0,
June 2016,2468635000.0,167288000.0,
September 2016,2476557000.0,177834000.0,
