,Assets,AssetsCurrent
June 2011,3772298000.0,452547000.0
September 2011,3712519000.0,446312000.0
December 2011,3610797000.0,376910000.0
March 2012,3637992000.0,403753000.0
June 2012,3560626000.0,338193000.0
September 2012,4168226000.0,264900000.0
December 2012,4273838000.0,298663000.0
March 2013,4227655000.0,267412000.0
June 2013,4349076000.0,286685000.0
September 2013,4326866000.0,249847000.0
December 2013,5046724000.0,841380000.0
March 2014,4813028000.0,599343000.0
June 2014,4709687000.0,472766000.0
September 2014,4612989000.0,367219000.0
December 2014,4763797000.0,399750000.0
March 2015,4662794000.0,385778000.0
June 2015,4739363000.0,460474000.0
September 2015,4667109000.0,345824000.0
December 2015,5109989000.0,412423000.0
