,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,7304000.0,,,
June 2010,7739000.0,,,
September 2010,6526000.0,,,
December 2010,8745000.0,,1644882000.0,240686000.0
March 2011,19956000.0,,,
June 2011,18466000.0,,1644290000.0,303941000.0
September 2011,17554000.0,,1637516000.0,284429000.0
December 2011,21388000.0,,1625959000.0,289893000.0
March 2012,17807000.0,-7337250.0,1587900000.0,269221000.0
June 2012,18030000.0,-7337250.0,1580698000.0,262279000.0
September 2012,18256000.0,-7337250.0,1612109000.0,298439000.0
December 2012,19775000.0,-7337250.0,1707880000.0,261646000.0
March 2013,19737000.0,2760000.0,1728987000.0,282167000.0
June 2013,21509000.0,65000.0,1737795000.0,262884000.0
September 2013,23870000.0,-7738000.0,2280578000.0,262693000.0
December 2013,26886000.0,-16558000.0,2225793000.0,204022000.0
March 2014,26537000.0,-9732000.0,2230112000.0,220508000.0
June 2014,26736000.0,-10278000.0,2199688000.0,183685000.0
September 2014,24336000.0,-11125000.0,2237169000.0,229058000.0
December 2014,24500000.0,-6617000.0,2192363000.0,182846000.0
March 2015,27596000.0,-9835000.0,2243303000.0,177493000.0
June 2015,29685000.0,-18409000.0,2227439000.0,151791000.0
September 2015,31362000.0,-24330000.0,2242037000.0,166461000.0
December 2015,32775000.0,-30810000.0,2173305000.0,123273000.0
March 2016,32118000.0,-23220000.0,2185054000.0,151805000.0
June 2016,32133000.0,-22202000.0,2146061000.0,114580000.0
September 2016,32897000.0,-27033000.0,2164463000.0,146724000.0
December 2016,28744000.0,-18789000.0,2132432000.0,125033000.0
March 2017,36245000.0,-18853000.0,2143914000.0,149294000.0
June 2017,64771000.0,-43526000.0,2107242000.0,135764000.0
September 2017,35793000.0,-29160000.0,2104879000.0,160383000.0
December 2017,31078000.0,-16020000.0,2054985000.0,140243000.0
March 2018,37406000.0,-30838000.0,2027558000.0,173428000.0
June 2018,34387000.0,-244367000.0,1786602000.0,145445000.0
September 2018,38199000.0,-40095000.0,1815106000.0,176739000.0
December 2018,20645000.0,-382744000.0,1413544000.0,151433000.0
March 2019,32512000.0,-27839000.0,1384048000.0,123874000.0
June 2019,29364000.0,628901000.0,30193000.0,30085000.0
