,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2008,8727750.0,38761000.0,8108000.0,,
March 2009,8727750.0,38761000.0,8108000.0,,
June 2009,8727750.0,36636000.0,11425000.0,,
September 2009,8727750.0,38239000.0,21767000.0,923687000.0,280195000.0
December 2009,9058500.0,39208000.0,436000.0,,
March 2010,9058500.0,36809000.0,5966000.0,,
June 2010,9058500.0,38144000.0,14547000.0,915637000.0,274397000.0
September 2010,9058500.0,43187000.0,23897000.0,974291000.0,296361000.0
December 2010,10525250.0,43645000.0,10813000.0,962620000.0,286101000.0
March 2011,10525250.0,43409000.0,13227000.0,994326000.0,308997000.0
June 2011,10525250.0,47520000.0,13078000.0,1006176000.0,319252000.0
September 2011,10525250.0,47956000.0,15383000.0,1011837000.0,328354000.0
December 2011,5866000.0,48690000.0,5207000.0,999927000.0,318156000.0
March 2012,5866000.0,47944000.0,10202000.0,1012362000.0,327689000.0
June 2012,5866000.0,46113000.0,13791000.0,1017479000.0,330361000.0
September 2012,5866000.0,-14595000.0,17679000.0,1033753000.0,343444000.0
December 2012,6929500.0,46939000.0,246000.0,1078831000.0,343631000.0
March 2013,6929500.0,45751000.0,1559000.0,1105507000.0,371459000.0
June 2013,6929500.0,31546000.0,4897000.0,1118846000.0,376577000.0
September 2013,6929500.0,5573000.0,-32305000.0,1092328000.0,393921000.0
December 2013,7116500.0,33872000.0,11189000.0,1083840000.0,383804000.0
March 2014,7116500.0,31818000.0,-33677000.0,825376000.0,276993000.0
June 2014,7116500.0,33492000.0,11590000.0,835539000.0,287005000.0
September 2014,7116500.0,35717000.0,11308000.0,845906000.0,295953000.0
December 2014,5876000.0,33504000.0,10023000.0,833713000.0,283511000.0
March 2015,5876000.0,32931000.0,8275000.0,861184000.0,292060000.0
June 2015,5876000.0,32786000.0,11896000.0,867844000.0,302084000.0
September 2015,5876000.0,30945000.0,12983000.0,864208000.0,298251000.0
December 2015,3050000.0,33291000.0,8829000.0,878385000.0,300828000.0
March 2016,3050000.0,32529000.0,8610000.0,928676000.0,320957000.0
June 2016,3050000.0,31369000.0,11528000.0,928248000.0,321860000.0
September 2016,3050000.0,34304000.0,16915000.0,978371000.0,323483000.0
December 2016,3500000.0,33762000.0,10727000.0,1069496000.0,332716000.0
March 2017,3500000.0,34889000.0,11157000.0,1085125000.0,343544000.0
June 2017,3500000.0,38453000.0,12645000.0,1211457000.0,380627000.0
September 2017,3500000.0,41329000.0,19174000.0,1260444000.0,392792000.0
December 2017,3275000.0,42154000.0,34671000.0,1237748000.0,373027000.0
March 2018,3275000.0,40749000.0,9994000.0,1265349000.0,391680000.0
June 2018,3275000.0,39910000.0,19019000.0,1278971000.0,409996000.0
September 2018,3275000.0,39618000.0,28452000.0,1265122000.0,396023000.0
December 2018,3025000.0,38540000.0,17317000.0,1268211000.0,411919000.0
March 2019,3025000.0,41673000.0,18797000.0,1293963000.0,435959000.0
June 2019,3025000.0,43400000.0,20067000.0,1326095000.0,450206000.0
September 2019,3025000.0,39121000.0,24858000.0,1466720000.0,495194000.0
December 2019,3325000.0,42105000.0,86777000.0,1431569000.0,498298000.0
March 2020,3325000.0,39982000.0,17822000.0,1441579000.0,511600000.0
June 2020,3325000.0,36936000.0,18687000.0,1444585000.0,513484000.0
September 2020,3325000.0,40467000.0,-21306000.0,1370186000.0,443293000.0
December 2020,3850000.0,41000000.0,12818000.0,1383575000.0,452245000.0
March 2021,3850000.0,38746000.0,16314000.0,1357402000.0,428100000.0
June 2021,3850000.0,42882000.0,14909000.0,1408683000.0,470865000.0
September 2021,3850000.0,44906000.0,19455000.0,1577345000.0,466154000.0
