,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,1293000.0,1989750.0,,
June 2009,1293000.0,1989750.0,,
September 2009,1293000.0,1989750.0,,
December 2009,1293000.0,1989750.0,,
March 2010,4809000.0,-10617750.0,,
June 2010,4809000.0,-10617750.0,,
September 2010,6154000.0,-10617750.0,,
December 2010,9707000.0,-10617750.0,166720000.0,16727000.0
March 2011,10849000.0,-35175500.0,,
June 2011,20768000.0,-35175500.0,,
September 2011,16475000.0,-35175500.0,178883000.0,17203000.0
December 2011,15045000.0,-35175500.0,197841000.0,42672000.0
March 2012,10979000.0,,190194000.0,21700000.0
June 2012,16767000.0,,205025000.0,30304000.0
