,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2018,38450000.0,400000.0,,,,
June 2018,38450000.0,400000.0,,,,
September 2018,38450000.0,400000.0,,,,
December 2018,38450000.0,400000.0,,,,
March 2019,37400000.0,400000.0,-13500000.0,,,
June 2019,39400000.0,400000.0,-8200000.0,,,
September 2019,55900000.0,400000.0,,,,
December 2019,48100000.0,400000.0,,788000000.0,106400000.0,681600000.0
March 2020,34800000.0,300000.0,-5200000.0,,,
June 2020,89300000.0,300000.0,-74000000.0,1014300000.0,332000000.0,682300000.0
September 2020,55400000.0,300000.0,-5000000.0,1115600000.0,433700000.0,681900000.0
December 2020,56800000.0,300000.0,-12400000.0,1779300000.0,1033500000.0,745800000.0
March 2021,95300000.0,450000.0,-32800000.0,1808600000.0,986200000.0,822400000.0
June 2021,73200000.0,450000.0,3200000.0,1731100000.0,893300000.0,837800000.0
September 2021,70000000.0,450000.0,-9200000.0,2355100000.0,1487700000.0,867400000.0
December 2021,89100000.0,450000.0,-9400000.0,2342600000.0,1453600000.0,889000000.0
March 2022,96300000.0,,-7500000.0,2432100000.0,1428100000.0,1004000000.0
June 2022,82900000.0,,10300000.0,2299600000.0,1283900000.0,1015700000.0
