,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2014,11500000.0,164750000.0,-20250000.0,,
June 2014,11500000.0,164750000.0,-20250000.0,,
September 2014,11500000.0,164750000.0,-20250000.0,,
December 2014,11500000.0,164750000.0,-20250000.0,,
March 2015,13500000.0,176000000.0,-85000000.0,,
June 2015,13500000.0,176000000.0,-85000000.0,,
September 2015,12000000.0,170000000.0,-239000000.0,,
December 2015,13000000.0,177000000.0,-5000000.0,9058000000.0,1874000000.0
March 2016,10000000.0,183000000.0,-23000000.0,,
June 2016,8000000.0,170000000.0,-10000000.0,,
September 2016,7000000.0,164000000.0,1000000.0,8923000000.0,2020000000.0
December 2016,6000000.0,169000000.0,-951000000.0,7709000000.0,1917000000.0
March 2017,4000000.0,169000000.0,-6000000.0,7700000000.0,1974000000.0
June 2017,3000000.0,153000000.0,-4000000.0,7648000000.0,1986000000.0
September 2017,4000000.0,144000000.0,-17000000.0,7547000000.0,2112000000.0
December 2017,2000000.0,149000000.0,208000000.0,7548000000.0,2710000000.0
March 2018,2000000.0,145000000.0,-50000000.0,7511000000.0,2620000000.0
June 2018,3000000.0,149000000.0,11000000.0,7436000000.0,2661000000.0
September 2018,3000000.0,142000000.0,-237000000.0,6730000000.0,1993000000.0
December 2018,3000000.0,124000000.0,-140000000.0,6680000000.0,1964000000.0
March 2019,3000000.0,127000000.0,-308000000.0,6663000000.0,1831000000.0
June 2019,2000000.0,121000000.0,-1029000000.0,5303000000.0,1607000000.0
September 2019,1000000.0,112000000.0,-16000000.0,5114000000.0,1546000000.0
December 2019,2000000.0,119000000.0,-581000000.0,4514000000.0,1586000000.0
March 2020,1000000.0,116000000.0,-49000000.0,4394000000.0,1572000000.0
June 2020,0.0,111000000.0,-51000000.0,4326000000.0,1568000000.0
September 2020,0.0,122000000.0,-7000000.0,4360000000.0,1653000000.0
December 2020,0.0,119000000.0,-11000000.0,4256000000.0,1577000000.0
March 2021,0.0,126000000.0,-11000000.0,4150000000.0,1551000000.0
June 2021,1000000.0,125000000.0,12000000.0,4123000000.0,1487000000.0
September 2021,2000000.0,131000000.0,11000000.0,4092000000.0,1511000000.0
December 2021,1000000.0,162000000.0,-40000000.0,4036000000.0,1680000000.0
March 2022,1000000.0,102000000.0,136000000.0,3979000000.0,1643000000.0
June 2022,2000000.0,113000000.0,0.0,3900000000.0,1597000000.0
