,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,10432250.0,13159250.0,,
June 2008,10432250.0,13159250.0,,
September 2008,10432250.0,13159250.0,,
December 2008,10432250.0,13159250.0,,
March 2009,9611000.0,24820000.0,,
June 2009,10589000.0,3766000.0,,
September 2009,14560000.0,45839000.0,,
December 2009,12622000.0,2903000.0,823565000.0,121698000.0
March 2010,8445000.0,1195000.0,,
June 2010,9401000.0,11743000.0,796121000.0,155800000.0
September 2010,10062000.0,18080000.0,806135000.0,169945000.0
December 2010,11439000.0,9376000.0,781711000.0,161794000.0
March 2011,11927000.0,7696000.0,757414000.0,144859000.0
June 2011,8704000.0,8449000.0,741404000.0,138682000.0
September 2011,7837000.0,25599000.0,752609000.0,158491000.0
December 2011,12081000.0,-1478000.0,746220000.0,134851000.0
March 2012,10890000.0,5051000.0,701034000.0,115897000.0
June 2012,11762000.0,5080000.0,691605000.0,114179000.0
September 2012,13342000.0,18599000.0,708716000.0,138769000.0
December 2012,13425000.0,13864000.0,718897000.0,138097000.0
March 2013,13596000.0,15487000.0,700235000.0,122926000.0
June 2013,10117000.0,19182000.0,697105000.0,120257000.0
September 2013,13444000.0,22191000.0,708989000.0,134872000.0
December 2013,13240000.0,13721000.0,680530000.0,130369000.0
March 2014,9677000.0,20350000.0,683880000.0,139101000.0
June 2014,12345000.0,16270000.0,689625000.0,145176000.0
September 2014,10772000.0,33154000.0,711178000.0,144127000.0
December 2014,11861000.0,20136000.0,1035421000.0,93663000.0
March 2015,12326000.0,5656000.0,1031146000.0,89335000.0
June 2015,11995000.0,711000.0,1040252000.0,90296000.0
September 2015,10689000.0,21798000.0,1039575000.0,94292000.0
December 2015,11382000.0,3549000.0,1016612000.0,70753000.0
March 2016,13009000.0,157000.0,1001355000.0,61668000.0
June 2016,13824000.0,-31238000.0,914145000.0,135116000.0
September 2016,12901000.0,27646000.0,933125000.0,160976000.0
December 2016,4528000.0,14373000.0,927681000.0,163645000.0
March 2017,12989000.0,16921000.0,932671000.0,172014000.0
June 2017,14165000.0,24244000.0,946774000.0,186380000.0
September 2017,14619000.0,33700000.0,970993000.0,188345000.0
December 2017,13635000.0,11588000.0,953079000.0,193307000.0
March 2018,13656000.0,14597000.0,2372353000.0,214529000.0
June 2018,16892000.0,46148000.0,2397149000.0,250450000.0
September 2018,14901000.0,60336000.0,2413071000.0,269416000.0
December 2018,14412000.0,1799000.0,2325852000.0,262198000.0
March 2019,16570000.0,6560000.0,2273214000.0,203829000.0
June 2019,14952000.0,17137000.0,2258941000.0,196460000.0
September 2019,12472000.0,20565000.0,2257054000.0,199655000.0
December 2019,13931000.0,11399000.0,2235059000.0,183441000.0
March 2020,14207000.0,-16832000.0,2212882000.0,174173000.0
June 2020,16811000.0,2638000.0,2205170000.0,179897000.0
September 2020,21046000.0,81007000.0,2297913000.0,278665000.0
December 2020,20455000.0,100017000.0,2381065000.0,357118000.0
March 2021,16758000.0,131106000.0,2563629000.0,507574000.0
June 2021,19512000.0,187905000.0,2682798000.0,666273000.0
September 2021,18512000.0,65667000.0,2717867000.0,714878000.0
December 2021,18650000.0,39182000.0,2535215000.0,421178000.0
March 2022,16294000.0,163880000.0,2733616000.0,600623000.0
June 2022,20412000.0,120222000.0,2871919000.0,651226000.0
