,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,10523073.0,4952393.0,-7944269.0,,
June 2010,10316622.0,5940360.0,-6392692.0,,
September 2010,9608266.0,6172147.0,-4328204.0,,
December 2010,14099201.0,3810636.0,-16184112.0,27199045.0,23583729.0
March 2011,10877657.0,5820374.0,-2075657.0,,
June 2011,9510160.0,5984098.0,-2437613.0,26315924.0,22939742.0
September 2011,8281971.0,4884231.0,-33496.0,21639793.0,18337030.0
December 2011,7322217.0,4531150.0,749193.0,22803509.0,19613006.0
March 2012,7739748.0,4705357.0,-2679888.0,24753684.0,21528724.0
June 2012,7775202.0,4918655.0,-756543.0,23807568.0,20683102.0
September 2012,8486503.0,5138622.0,-213936.0,23410865.0,20378622.0
December 2012,7440824.0,4746995.0,-1269748.0,22741404.0,19795845.0
March 2013,7565872.0,5233475.0,-2111385.0,21972385.0,19067512.0
June 2013,5777129.0,3402545.0,-1236372.0,24586911.0,21692450.0
September 2013,6687324.0,2556383.0,-3945887.0,20618791.0,17766238.0
December 2013,8721490.0,4097739.0,-4424709.0,17139289.0,14339108.0
March 2014,6144391.0,3427000.0,-2258440.0,14374221.0,11586064.0
June 2014,4828804.0,2372687.0,-439120.0,15223483.0,12433457.0
September 2014,4958481.0,1728929.0,-4628435.0,23349714.0,20585419.0
December 2014,4449834.0,1791212.0,-2629400.0,21978241.0,19250632.0
March 2015,5907662.0,1613627.0,1463395.0,25465298.0,22739443.0
June 2015,3114437.0,1222527.0,-2340932.0,22615766.0,19905673.0
September 2015,2814387.0,1125865.0,-1324768.0,20895657.0,18245550.0
December 2015,2206974.0,1171493.0,-1238400.0,19862397.0,17226866.0
March 2016,2260130.0,1029131.0,-1226906.0,18734617.0,16136637.0
June 2016,2618998.0,1143182.0,-1617070.0,27930954.0,25398806.0
September 2016,4983674.0,1236692.0,109235013.0,140538587.0,138036311.0
December 2016,4465036.0,3812455.0,77801592.0,224739223.0,222269826.0
March 2017,3987394.0,725797.0,-2197597.0,20728477.0,18292087.0
June 2017,7049238.0,5254729.0,-3110382.0,90842306.0,16995600.0
September 2017,35544308.0,5905552.0,-29905237.0,74346118.0,26122474.0
December 2017,16202641.0,6520251.0,-11212174.0,63030200.0,23465867.0
March 2018,8685541.0,5746971.0,-3173538.0,60866721.0,19920760.0
June 2018,7852943.0,4918961.0,-9138842.0,52102330.0,11865956.0
September 2018,6692459.0,4728726.0,-2351149.0,52861381.0,11966030.0
December 2018,29934635.0,3064652.0,-24507623.0,54750542.0,39372134.0
March 2019,5284153.0,3217671.0,-2097306.0,65373830.0,49414052.0
June 2019,5176913.0,2945096.0,-3386888.0,61976014.0,46105173.0
September 2019,11917358.0,8729697.0,-10939312.0,56387923.0,41623918.0
December 2019,4887912.0,2873089.0,-4096625.0,54058020.0,39394749.0
March 2020,9519448.0,7187531.0,-3885649.0,54233130.0,39636971.0
June 2020,19139606.0,16594250.0,-16766916.0,102543767.0,87970418.0
September 2020,21262213.0,17041975.0,-17770135.0,232995320.0,218131544.0
December 2020,13062501.0,8950572.0,-10621777.0,245115213.0,230257209.0
March 2021,15699000.0,11878000.0,-14864000.0,264250758.0,245191823.0
June 2021,25001065.0,13272412.0,-24826707.0,257260850.0,238624889.0
September 2021,33361667.0,29205739.0,-33510688.0,236906657.0,218263032.0
December 2021,27262665.0,20184964.0,-23889429.0,218864844.0,204126115.0
March 2022,19531000.0,15104000.0,-19430000.0,205660000.0,191093000.0
June 2022,20403000.0,15993000.0,-20107000.0,209906000.0,195504000.0
