,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2010,477000.0,477000.0,-477000.0,
June 2010,46852000.0,5759000.0,-41141000.0,
September 2010,30989000.0,7941000.0,-7747000.0,
December 2010,40963000.0,10055000.0,,2276282000.0
March 2011,50291000.0,9865000.0,3176000.0,
June 2011,63456000.0,11284000.0,7023000.0,3753499000.0
September 2011,63784000.0,11512000.0,18271000.0,4247017000.0
December 2011,76369000.0,11898000.0,,5164593000.0
March 2012,90943000.0,13609000.0,,6286628000.0
June 2012,114289000.0,14308000.0,,6808337000.0
September 2012,117732000.0,12833000.0,,7165478000.0
December 2012,128809000.0,15703000.0,,7353624000.0
March 2013,130325000.0,14247000.0,,7955675000.0
June 2013,141561000.0,16648000.0,,8439671000.0
September 2013,141017000.0,17497000.0,,8808301000.0
December 2013,152330000.0,22820000.0,,9332604000.0
March 2014,151576000.0,19186000.0,,9553305000.0
June 2014,160645000.0,19906000.0,,10052116000.0
September 2014,165662000.0,19656000.0,,10545563000.0
December 2014,177834000.0,23674000.0,,10691180000.0
March 2015,248341000.0,19098000.0,63347750.0,11145238000.0
June 2015,186538000.0,17729000.0,63347750.0,11666206000.0
September 2015,193539000.0,19323000.0,63347750.0,11911694000.0
December 2015,201469000.0,20811000.0,63347750.0,12355098000.0
March 2016,199337000.0,19402000.0,92858000.0,12783410000.0
June 2016,207868000.0,20653000.0,91803000.0,13340170000.0
September 2016,210528000.0,19874000.0,93276000.0,13680907000.0
December 2016,221084000.0,23064000.0,96988000.0,13975616000.0
March 2017,226309000.0,22572000.0,84937000.0,14477040000.0
June 2017,225088000.0,23843000.0,100925000.0,14861397000.0
September 2017,222646000.0,19262000.0,99188000.0,14901647000.0
December 2017,232807000.0,25646000.0,471102000.0,15614164000.0
March 2018,239890000.0,23359000.0,110651000.0,15944846000.0
June 2018,250405000.0,21458000.0,115211000.0,17255447000.0
September 2018,271316000.0,26377000.0,146574000.0,17567303000.0
December 2018,277953000.0,26175000.0,138399000.0,18481808000.0
March 2019,291107000.0,29702000.0,138094000.0,19178935000.0
June 2019,310859000.0,27771000.0,128305000.0,20484348000.0
September 2019,337115000.0,34715000.0,155787000.0,21609701000.0
December 2019,342138000.0,31465000.0,164935000.0,21709155000.0
March 2020,339715000.0,28322000.0,137151000.0,22682345000.0
June 2020,337419000.0,26581000.0,147625000.0,22993720000.0
September 2020,340346000.0,20239000.0,120395000.0,23604765000.0
December 2020,351281000.0,20542000.0,111093000.0,25215175000.0
March 2021,371298000.0,26914000.0,84092000.0,25189381000.0
June 2021,377315000.0,26687000.0,93422000.0,25755520000.0
September 2021,389964000.0,31082000.0,107337000.0,27014561000.0
December 2021,408796000.0,40596000.0,151781000.0,26968722000.0
March 2022,1198374000.0,32762000.0,-468993000.0,26874849000.0
June 2022,412764000.0,38512000.0,116277000.0,27646457000.0
