,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2018,1175000.0,-13225000.0,
June 2018,1175000.0,-13225000.0,
September 2018,1175000.0,-13225000.0,
December 2018,1175000.0,-13225000.0,
March 2019,1500000.0,-21600000.0,
June 2019,2100000.0,-23100000.0,
September 2019,2800000.0,-31100000.0,
December 2019,3400000.0,-32700000.0,414300000.0
March 2020,3500000.0,-36500000.0,
June 2020,4200000.0,-21000000.0,399900000.0
September 2020,5300000.0,-30900000.0,831500000.0
December 2020,6400000.0,-33900000.0,828700000.0
March 2021,7100000.0,-49000000.0,1477500000.0
June 2021,14000000.0,-55600000.0,1487300000.0
September 2021,14300000.0,-66400000.0,1521700000.0
December 2021,16400000.0,-70300000.0,1510500000.0
March 2022,16900000.0,-74800000.0,1495400000.0
June 2022,17800000.0,-67900000.0,1460900000.0
