,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,29362.0,15364.0,-67745.0,,,
June 2019,3470.0,4558.0,-19028.0,,,
September 2019,4704.0,-12665.0,-25408.0,,,
December 2019,-15193.0,13133.0,19805.0,29199.0,3410.0,5000.0
March 2020,94051.0,1156.0,-131556.0,,,
June 2020,30540.0,1867.0,-123776.0,119843.0,100061.0,5000.0
September 2020,127255.0,30323.0,-200832.0,20026.0,2899.0,5000.0
December 2020,220145.0,1578.0,-276406.0,15555.0,757.0,
March 2021,149525.0,26810.0,-328138.0,329089.0,52176.0,
June 2021,205822.0,94062.0,-675344.0,381990.0,86505.0,
September 2021,203275.0,30690.0,268576.0,384756.0,97200.0,
December 2021,659286.0,,-2665956.0,1686833.0,231280.0,
March 2022,518349.0,218538.0,-497406.0,1605606.0,228264.0,
June 2022,,,,,,
